ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_16_GOV_Total,E_16_GOV_Dem,E_16_GOV_Rep,E_16_AG_Total,E_16_AG_Dem,E_16_AG_Rep,E_16_LTG_Total,E_16_LTG_Dem,E_16_LTG_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_GOV_Total,E_20_GOV_Dem,E_20_GOV_Rep,E_20_AG_Total,E_20_AG_Dem,E_20_AG_Rep,E_20_AUD_Total,E_20_AUD_Dem,E_20_AUD_Rep,E_20_LTG_Total,E_20_LTG_Dem,E_20_LTG_Rep,E_20_SOS_Total,E_20_SOS_Dem,E_20_SOS_Rep,E_20_TREAS_Total,E_20_TREAS_Dem,E_20_TREAS_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,131227,100529,8793,3520,16945,1914,801,150919,105242,12236,4607,27924,2071,1193,157201,100994,13413,5916,31910,3804,1331,157284,101042,13414,5926,31914,3806,1334,154988,105741,13188,5068,29434,2013,892,158895,105101,13033,5837,31867,2467,1105,100925,79896,5578,2131,11998,1336,536,103435,81327,5585,2191,12266,1122,355,122252,82471,8987,3826,22866,2795,904,122252,82471,8987,2586,19902,438,327,780,6761,105194,82340,5789,2601,12662,1120,248,108072,83078,5960,3052,13768,1248,203,69338,44344,23844,67879,43667,24212,74516,48692,20073,75895,50087,25807,75712,45648,30064,70082,50806,19276,72412,45549,26863,70971,48059,22912,81694,55274,24928,90932,64157,23802,90149,61903,27904,87891,58706,29147,86424,59283,27103,82478,70073,0,87821,45727,42027,86839,53915,32898,80606,55007,24081,69279,48493,20631,67635,40584,2007,68778,48551,20129
2,2,130029,100263,9613,7198,8454,4775,2723,147449,107561,12726,10696,11974,6218,2936,157168,106941,16691,11372,12891,7963,4799,157437,107123,16695,11403,12897,7978,4804,152913,111616,14561,10039,10561,6094,3746,157403,108927,16843,12140,12432,6847,4262,96110,77310,5531,4212,5586,3020,1559,106679,82692,6941,5776,5655,3623,819,118264,84712,10296,7050,8915,5376,2976,118264,84712,10296,4857,5892,1517,1964,768,8258,110290,86024,7517,5512,5515,3384,1372,113506,85833,8707,6456,6625,3160,1288,56014,27330,27417,55195,27247,27948,58491,21971,31187,58966,27390,31576,58961,24222,34739,54420,30653,23768,57106,23166,33940,55480,23324,32157,68734,28034,39344,81198,33121,44970,80661,31080,49330,78503,31345,47041,77781,32874,44825,73148,50617,0,78747,25061,53564,77874,30723,47052,68546,27320,39838,57877,23192,34505,56118,19513,3004,57414,23966,33217
3,3,141797,119972,6750,5660,5197,5102,976,147154,121610,8696,6104,6118,5400,949,156591,121928,10932,7471,7001,7753,2113,157244,122365,10948,7571,7004,7789,2118,149715,121657,9430,6777,6631,5282,1470,155020,124149,10800,7342,7075,6250,1906,111667,97405,4282,3166,3631,3387,604,113840,98193,5283,3300,2998,3374,224,125230,100792,7455,4624,5023,5663,1298,125230,100792,7455,2994,3187,1978,800,678,7346,115967,98956,5973,3987,3378,3147,334,122094,103002,6839,4269,3710,3384,322,66013,38252,25983,63296,36726,26570,65380,35229,24101,66334,40151,26183,66274,38098,28176,61506,40337,21169,63881,35349,28532,66988,41829,25159,74043,44166,28717,84112,50165,30597,83566,49285,33950,80677,48335,32236,79833,48364,31363,73686,61350,0,80568,41792,38645,79977,45210,34665,73217,43672,28363,61506,37251,24124,59381,31342,2332,61396,36084,25186
4,4,136266,121971,5562,2390,3449,3276,567,148951,130723,7894,2909,4484,3281,1052,157051,129864,9816,4485,5164,6122,1477,157261,130020,9819,4509,5165,6134,1479,151937,131372,8614,3213,4604,4171,1040,159882,135415,9882,4094,5356,4895,866,103054,94261,3241,1199,2251,2139,348,111849,101553,4012,1487,2194,1800,418,121889,103751,6201,2578,3540,4290,902,121889,103751,6201,1556,2259,1108,538,529,5947,114244,103472,4012,1541,2224,2218,303,121387,108087,5561,1725,2786,2503,152,64463,27692,35014,64232,26763,37469,67647,23487,38220,68640,30017,38623,68568,27799,40769,62769,33251,29518,66477,24055,42422,66829,28536,38293,77318,30559,45342,88598,34488,50805,88236,33155,54788,85267,33687,51466,84481,34316,50067,75809,53225,0,85163,28569,56458,84686,31410,53179,76929,29797,45699,66388,25535,40721,63989,22352,4415,66193,24147,41881
5,5,134710,109548,7403,2695,13200,2210,840,155462,115870,11132,3928,22625,2710,1034,157268,109452,12106,4926,25650,4374,1250,157378,109533,12108,4935,25652,4378,1252,154812,113125,11934,3640,23904,2674,1101,156248,110069,11450,4254,27031,2840,1192,99896,83929,4370,1488,8624,1452,466,105935,88472,4365,1923,9127,1386,175,118049,86328,7651,2907,17180,3014,762,118049,86328,7651,1755,14807,565,239,536,6168,106922,89362,4846,1634,8961,1594,209,107203,87342,5413,1756,10113,1848,272,68423,37619,29602,66409,35262,31147,73685,38951,28929,75049,40969,34079,75088,36498,38589,68142,44252,23889,71747,36193,35554,73511,40761,32750,82919,45587,35871,93388,53764,36452,92763,50795,41649,89927,48379,41461,88471,49358,39062,82143,64538,0,90109,37127,52891,88914,44835,44020,82526,45661,35374,72418,41253,30994,69887,34412,2896,72173,42665,29316
6,6,139184,118466,6812,4334,5046,4760,1443,147567,121134,9496,6049,6118,5817,2461,158883,124149,10751,6497,7443,7838,2788,157252,123152,10707,6344,7421,7754,2770,149700,122914,9636,5884,6461,5480,2180,157806,128189,10296,7231,6690,4939,2375,105063,91927,4069,2541,3404,3010,817,109792,94965,5280,2541,3017,2967,429,122031,98641,6984,3960,5226,5459,1653,122031,98641,6984,2615,3466,1863,1127,524,6811,111355,96211,5392,2576,3203,3019,473,117254,100393,6133,3286,3396,2876,642,60826,27885,31368,60484,27124,33360,63182,24108,33642,64199,30279,33920,64082,27999,36083,58568,32585,25983,61896,24484,37412,62183,28665,33518,71644,31002,39458,81975,35076,43841,81500,33876,47335,78654,33962,44581,77959,34533,43319,70593,50714,0,78643,29063,49434,78180,31741,46327,71089,30215,39665,60780,25625,35019,58226,22539,3706,60643,24379,36108
7,7,147508,114645,18743,1104,1724,12224,438,153505,115484,22623,1812,2575,12016,906,157002,113318,23523,1627,2592,15214,674,157313,113537,23530,1631,2592,15246,675,155073,115803,23211,1801,2490,12105,855,156995,114049,25069,2317,2550,12496,1002,111683,91476,10811,536,1068,8136,234,110678,93271,7227,665,993,7914,268,122435,92990,15174,920,1737,10492,436,122435,92990,15174,424,953,6513,157,676,5548,112592,94251,7823,827,1021,8109,283,113810,94840,8514,844,1105,7894,239,67201,26857,37992,64271,24546,39725,68285,20577,42700,68999,27794,41205,68992,24805,44187,61717,32080,29637,66537,21491,45046,66939,24534,42405,76399,26226,49329,87155,29332,55500,86875,27397,59200,84356,28500,55724,83607,29155,54347,73982,44247,0,84497,24484,59915,83836,26999,56763,76466,25321,50277,68472,21819,46512,64672,19193,5932,67671,20214,46655
8,8,129080,93988,26004,2934,4704,2164,483,146804,101772,33444,4140,6228,2528,799,156927,100197,40089,4240,7371,5150,1108,157223,100354,40099,4275,7376,5160,1110,149317,102917,34374,3850,6674,2939,613,154658,102463,37623,4791,7000,3191,761,93013,72185,14806,1629,3131,1475,275,97684,77965,13192,1994,2715,1330,90,114196,78397,24404,2450,4889,3581,666,114196,78397,24404,1589,3702,663,314,534,4593,100172,79958,13543,2027,3058,1270,59,104610,80740,16733,2159,3082,1522,140,53053,18550,33566,57490,19918,37572,59605,19304,35763,61052,25944,35109,60943,22556,38387,55788,30808,24981,58990,19543,39447,55804,20424,35381,67536,24902,41529,77566,28769,45970,77228,27384,49559,75022,27514,47429,74263,28616,45580,67459,43114,0,74903,22009,52821,74630,23980,50587,66908,23665,42119,57518,18702,38728,55358,16825,7007,56618,16255,39229
9,9,140754,119072,10592,2443,6276,2977,641,154374,125084,14445,4055,8083,4447,904,156945,123272,15215,3984,8301,5536,1067,157117,123407,15218,3989,8301,5545,1068,154885,125494,14493,3989,8082,3907,694,156230,124292,15060,3816,8728,4003,1028,112038,96619,6825,1672,5105,2045,438,115701,100402,7010,2108,3453,2065,210,125656,100713,10650,2831,6610,4117,765,125656,100713,10650,1737,4679,996,272,570,6039,116962,101564,7160,1958,3653,2095,215,119101,102417,7924,1917,4177,2154,155,65877,28047,36017,64229,25853,38376,66438,24167,36500,67481,30207,37274,67439,27378,40061,60755,33722,27033,65010,24399,40611,65815,28584,37231,73855,30237,42472,83324,34023,46434,82859,32714,49863,80294,32536,47669,79535,33073,46359,70377,50123,0,80409,27128,53156,79800,29752,49936,73635,29509,42962,65821,25182,40511,62436,22048,2977,65618,23591,41858
