ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,17590,11017,605,207,1248,4800,105,18159,10697,952,249,1524,5194,161,17921,9965,777,318,1524,5487,156,18150,10640,921,215,1542,5133,189,17729,10041,967,219,1483,5135,162,13377,8978,351,109,850,3195,58,13649,8775,519,146,699,3396,34,13930,8299,505,191,1121,3817,98,13930,8299,505,85,922,2764,24,79,1252,13700,8845,540,157,753,3309,34,13547,8504,599,121,855,3356,54,8690,3258,5215,8301,2660,4518,8078,810,4358,7326,2859,4096,8466,3248,4690,9348,3756,5208,9234,3654,5095
2,2,18786,11501,749,182,1090,5701,146,18743,10880,1299,341,1239,5391,204,18048,10265,904,320,1215,5604,201,18550,10527,1310,383,1694,5080,267,18102,9940,1337,269,2014,4799,372,14356,9315,469,104,731,3947,81,14207,8904,741,211,506,3672,43,14188,8672,587,213,866,3872,114,14188,8672,587,92,645,2806,48,66,1272,14144,8653,775,273,753,3422,51,13750,8229,812,150,921,3226,108,9383,4481,4593,9316,3940,4160,9139,1452,4368,8329,4403,3401,9472,4735,4114,10398,5248,4805,10285,5223,4427
3,3,17631,13110,728,273,1166,2730,201,17547,12891,717,411,1413,2468,257,18195,12443,969,359,1296,3244,352,17231,12514,604,459,1426,2307,426,18122,12632,983,520,1724,2695,499,13362,10462,426,143,738,1723,105,13052,10364,303,213,539,1481,29,14154,10260,647,221,884,2150,202,14154,10260,647,103,579,1079,119,91,1276,12937,10245,314,134,647,1332,135,13929,10477,548,204,701,1380,245,10138,4920,4907,9974,4581,4001,9827,1651,4294,9560,5044,4062,10538,5594,4355,11430,6418,4588,11394,6278,4696
4,4,17657,11295,937,341,1758,3794,222,18797,11183,1655,408,1919,4034,374,18122,10428,1235,486,2150,4141,419,19275,11135,1809,422,2181,4021,270,18109,10325,1558,375,2280,3686,197,13844,9411,633,204,1197,2635,126,14367,9340,963,208,888,2575,206,14513,8900,845,327,1563,2902,283,14513,8900,845,177,1173,1756,210,65,1387,14708,9421,1017,256,1087,2646,120,13899,8980,948,283,1038,2390,85,9752,6110,3381,9409,5633,2687,9212,2018,3708,8860,5896,2662,9629,6325,2858,10279,6906,3013,10209,6817,3044
5,5,18791,10613,1192,312,3292,3565,199,19310,10134,1585,208,3904,3526,434,18707,9833,1308,379,3675,3566,278,18645,9778,1596,203,3909,3237,369,18603,9605,1457,368,3824,3113,385,13896,8329,722,204,2266,2402,118,12875,8121,793,132,1324,2196,150,14467,8048,888,288,2710,2500,175,14467,8048,888,183,2488,1827,107,62,864,12307,7884,769,164,1210,2002,135,12878,7913,820,287,1733,1939,145,8579,3103,5249,7842,2841,3943,7608,809,3606,6543,3318,2830,7780,3372,3906,8670,3638,4650,8536,3546,4543
6,6,16782,14410,378,128,269,1672,52,17725,15031,618,136,301,1677,19,18434,15231,571,173,394,1732,97,18277,15109,717,97,376,1963,26,18708,15257,673,59,442,2127,62,13027,11448,244,74,162,1118,26,13953,12052,436,95,171,1188,8,14788,12476,383,109,282,1250,62,14788,12476,383,43,161,631,31,108,955,14241,12190,517,79,185,1196,19,14647,12516,502,32,249,1295,25,9448,3848,5369,9701,3469,5192,9468,979,3181,9342,4228,4708,10581,4495,5585,11796,5024,6405,11707,5022,6225
7,7,17520,14215,709,167,456,2027,144,19182,14893,975,148,593,2325,236,18465,13666,975,261,618,2791,188,19293,14674,834,195,784,2567,247,18632,13894,1158,372,699,2350,106,12822,10781,428,89,276,1245,83,14137,11673,633,60,281,1381,60,13816,10685,583,169,427,1816,106,13816,10685,583,86,276,963,43,68,1112,14464,11723,574,122,392,1559,70,13917,10992,684,207,369,1553,25,8421,1989,6232,8676,1762,6006,8503,527,3391,7668,2090,5222,8884,2218,6209,9913,2551,7010,9760,2419,6865
8,8,17536,14892,442,115,338,1827,69,17791,14812,497,252,421,1890,127,18471,14721,584,258,436,2278,110,17459,14600,618,287,359,1688,65,18292,14888,570,300,478,2083,115,13503,11719,282,65,226,1241,47,13614,11696,317,119,93,1272,4,14564,11896,394,162,310,1589,81,14564,11896,394,75,196,884,43,105,971,13480,11756,374,115,100,1070,4,14073,12088,314,95,160,1388,4,8813,1963,6655,9399,1813,6664,9188,625,3396,8588,2238,6012,9804,2388,6957,10845,2654,7873,10741,2664,7572
9,9,17533,14916,617,314,840,899,67,16891,13275,1029,388,952,1387,39,18284,14200,970,404,1147,1396,142,16793,12793,1094,590,1046,1394,33,17489,13429,1157,751,803,1451,87,13176,11477,377,191,564,574,37,12454,10340,593,223,457,865,8,13957,11270,629,258,766,882,77,13957,11270,629,156,514,406,28,75,879,12904,10237,838,428,609,805,15,13208,10481,830,513,501,857,30,11246,4749,6309,11145,4607,5299,11055,1050,5462,10270,4793,5149,11523,5237,5836,12470,6077,6068,12489,5561,6661
