ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,213746,175286,28985,2193,2877,5947,583,230791,185940,33398,2683,3654,6710,708,237896,184643,34576,3195,4889,9883,906,234359,187876,34355,2992,3819,6594,719,239511,188601,36453,3427,4408,8104,749,173233,148147,18176,1331,2106,4143,380,186835,160036,18578,1568,2217,3834,133,200724,162562,23645,2139,3769,7388,632,200724,162562,23645,1192,2513,2473,214,896,7229,190602,162641,19339,1716,2437,3885,145,194207,165065,19858,1964,2521,4134,130,101252,37756,61755,99852,34736,65116,116219,36550,72013,113123,35461,68768,110156,41162,65929,110109,33061,74850,105945,37449,68333,121405,41853,77227,144404,50490,91810,143214,52746,90468
2,2,221125,153997,44909,9448,10035,4703,883,242749,156040,56361,11892,15968,5047,908,246674,150278,56627,15905,17363,8718,1091,248588,159117,57057,13463,16271,6331,969,241155,146770,58434,15314,16082,7287,1060,168285,124732,27850,6005,7398,3150,571,169539,127034,26058,7045,6061,2858,213,192714,125798,38110,10711,12448,6283,728,192714,125798,38110,8194,10365,2186,308,927,6826,173534,129318,26681,7736,5536,3284,218,171478,121652,29750,9693,5692,3819,134,81298,34194,45866,76859,32383,44476,88562,36555,44776,86494,31541,48730,77994,38475,37343,77733,31240,44576,76020,35258,40620,90689,42035,46620,113323,54437,56859,111785,56196,55589
3,3,211302,184886,12405,3723,8266,2686,447,237048,202691,14493,4642,13189,3125,340,236955,196097,16501,5520,13185,4737,674,240425,202615,15548,4871,13387,3061,628,236366,194845,18140,5602,13609,3310,597,164402,146816,8011,2526,5443,1799,287,185643,165341,8843,2780,6734,1745,33,195367,166351,11481,3794,9230,3386,421,195367,166351,11481,2688,7490,1199,155,690,5313,187812,166878,9079,2999,6567,1726,33,184893,161274,10820,3526,6772,1951,54,109416,38783,69564,110980,35002,75978,123973,42772,74658,121485,34913,81059,118877,45584,71855,118406,35430,81636,115891,40885,74882,131944,47958,82475,158427,61455,95522,157704,61541,96163
4,4,224608,188150,18896,5059,10715,2529,508,247062,193924,26102,6814,18142,2775,974,244298,187076,24702,7356,19813,4683,862,252311,193654,27200,8044,21179,2777,1096,239761,181377,26987,7887,19361,3379,1376,180797,155174,12828,3473,7853,1753,328,188301,158480,15952,4091,7438,1521,386,200823,159214,17646,5318,14247,3516,551,200823,159214,17646,3550,11976,933,186,970,6348,192140,159511,17202,4862,8217,1392,383,186461,153061,17335,4745,8521,1793,646,119506,50748,67444,117439,47365,70074,128067,57139,62763,125735,45917,74612,120242,59913,58532,119679,48282,69703,116989,53642,63219,132485,62478,68070,156320,77921,76546,155260,77789,77471
5,5,223073,106950,88899,15096,6666,10380,741,244960,115092,95900,17938,9850,10546,932,239088,115428,85196,20852,10314,12833,1036,246783,115169,94705,19651,11095,11229,1030,240647,111829,89912,21211,11380,11922,1043,169151,93080,55816,10676,5066,7043,493,164089,100191,42133,11110,4461,5588,219,192005,102123,59869,15424,8040,9547,647,192005,102123,59869,12106,5662,4313,212,1005,6715,169607,100731,45708,11256,5211,5974,342,170361,98391,46455,12520,6264,5907,348,72534,41817,29598,71825,44134,27691,84844,53325,25025,83506,46460,32775,80078,56047,22081,79671,48765,29007,78095,52126,25800,90190,60546,27773,110172,76113,32327,109339,76854,32485
6,6,231444,62718,21589,2803,2042,146904,391,232280,57132,22002,2939,2894,152217,577,225474,58813,21538,3006,2750,142803,607,233001,57263,22718,3474,2664,151713,688,223552,56238,23020,3612,2428,143775,508,160477,50399,13519,1748,1474,95134,233,164243,46498,12683,1595,986,102269,128,166613,48888,14598,2120,2047,100188,384,166613,48888,14598,1252,1341,96186,127,413,3808,166586,46547,13521,2114,964,103252,148,161326,46511,13560,1852,984,98541,169,78213,49115,27249,76402,52097,24305,88009,52888,26732,87964,54691,28360,80002,52136,24762,79819,46341,30668,78462,51167,27112,90747,58363,29816,111111,73042,36248,110671,74951,35720
7,7,224624,166299,40942,4216,3227,11812,589,242916,173083,49566,6150,4791,11691,796,240214,170156,44449,6284,5344,14836,1029,248302,175702,50575,7455,5412,12617,916,244267,170482,49202,7851,5870,14043,868,180256,138653,28297,3023,2462,8711,385,193976,146385,32873,4058,2499,7375,428,199383,147058,32651,4679,4120,10782,688,199383,147058,32651,3317,2641,6354,244,764,6354,199434,150285,33195,4602,2838,7542,292,196648,147315,32637,4223,3184,8331,232,88415,33420,53334,85114,30927,54187,94411,31762,55968,91836,31054,53469,87159,35086,49476,86851,27858,56939,85067,32300,52595,98224,36039,60179,119791,43850,74114,118675,46324,72351
8,8,216616,124439,57837,14663,10090,13546,1100,255232,139017,67523,20632,17877,14706,1711,244166,128811,61634,20990,20211,16948,1618,259702,139900,65820,24787,18561,15394,1590,248372,131986,65799,22758,17990,14480,1780,176095,111682,38405,10331,8733,9056,785,188152,122083,36178,13525,6576,8804,589,204640,116492,44971,15532,17754,12095,1149,204640,116492,44971,11956,14206,7262,576,999,8178,194223,123681,37180,15791,7486,9120,411,189054,118745,38466,14934,8148,7541,598,74705,41428,32034,67942,38096,29846,78680,44138,26988,76866,38007,34280,71245,45886,23440,70734,39704,29345,69022,42532,26348,82418,50746,29608,103530,65620,35786,102279,66498,35781
9,9,221835,115863,82324,11796,5442,9522,1767,247766,120949,95061,16211,6788,13454,2836,238117,112902,89712,17038,8627,14500,2149,252124,123996,93631,18203,7267,12871,2467,243516,119149,89623,20119,7956,12116,1336,160634,93975,50253,7692,4049,6019,1065,158627,98342,39761,9371,3202,6807,923,179431,94101,59063,11566,6776,10011,1358,179431,94101,59063,8887,4904,4951,832,863,5830,162951,100557,40071,10779,3767,6571,633,160852,98431,40472,11313,4056,5733,316,69595,29450,39063,65885,28749,37136,73453,31927,33570,71689,28185,38396,64060,33054,28911,63839,27561,34454,62292,30441,31738,74712,36934,35591,93208,48209,42785,92156,50141,42015
