ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,26404,23531,542,347,148,1899,83,24670,21844,623,393,140,1639,74,23705,19954,610,339,166,2461,62,24498,21584,701,364,61,1718,105,23886,20625,816,433,101,1804,33,19900,18120,281,161,79,1267,39,18771,17060,335,179,29,1140,0,18141,15662,349,182,94,1674,42,18141,15662,349,94,52,652,19,29,1284,18566,16839,373,116,20,1208,40,18237,16220,418,232,43,1300,30,11862,4313,7152,10414,3538,6646,10495,2394,7562,10384,2560,7250,8418,2784,5151,8367,2409,5958,9822,2548,6978,11132,2601,8330,11030,2817,7643
2,2,24073,22646,614,265,116,501,26,23225,21673,591,466,181,448,13,22863,20465,797,371,181,926,48,23078,21239,707,580,127,570,0,22992,20877,729,640,278,570,0,18199,17373,333,120,71,326,15,17541,16712,299,173,41,283,0,17527,15965,455,204,119,665,34,17527,15965,455,105,87,129,32,37,717,17758,16768,290,242,58,301,0,17822,16722,335,239,134,306,0,11333,5033,5867,10218,4111,5822,10166,2863,6660,10051,2903,6584,8739,3794,4303,8635,3070,5565,9875,3207,6317,11245,3257,7764,11168,3579,6976
3,3,23636,20206,1441,988,559,462,110,23702,19316,2001,1163,791,772,82,24113,18548,2304,1401,553,1177,187,23632,19303,2029,1074,807,711,41,24133,19584,2246,1127,703,730,158,18670,16375,888,592,465,354,65,18142,15718,1007,709,185,517,0,18783,15076,1390,880,438,867,101,18783,15076,1390,606,332,155,89,68,1067,18100,15488,1185,652,325,491,0,18482,15626,1274,588,373,468,25,8797,4331,4240,8187,3792,4195,8163,3097,4425,8145,2925,4780,7080,3619,2935,6985,3198,3787,8018,3414,4257,9102,3828,5015,9067,3904,4647
4,4,23859,22216,467,612,147,454,27,23387,21342,626,722,256,508,18,23030,20376,604,782,203,916,42,23303,21273,631,662,296,456,99,23206,20936,651,721,286,617,115,17997,16951,243,398,91,322,17,17667,16391,337,456,127,355,0,17420,15668,331,493,139,639,28,17420,15668,331,387,94,110,8,37,785,17580,16360,278,415,174,288,25,17466,16180,304,416,136,349,20,11138,3679,7035,10275,3037,6977,10053,2001,7535,9962,2023,7342,8316,2563,5124,8275,2197,6078,9645,2192,7126,11207,2340,8663,11136,2580,7939
5,5,23004,21316,650,441,236,405,16,23259,21044,1278,461,117,473,39,23522,20305,1195,596,299,1006,32,23138,21042,1015,442,111,499,34,23686,21164,1151,344,378,547,4,16991,15986,350,264,139,266,13,17321,16049,667,226,68,302,4,17912,15843,718,360,192,668,21,17912,15843,718,226,128,123,10,76,788,17445,16385,483,207,63,306,4,17891,16593,597,189,220,339,0,10875,4515,6097,10287,3735,6296,10492,3385,6268,11190,3333,6853,9280,4160,4339,9161,3609,5552,10681,3842,6238,12129,4310,7479,12093,4329,6959
6,6,22155,20756,556,416,150,325,16,22409,20656,678,444,220,435,2,23102,20621,779,524,217,769,28,21466,19658,629,543,240,445,2,22271,20427,593,606,275,418,0,16200,15381,308,232,83,212,9,16957,15818,371,293,158,324,0,17395,15813,435,316,130,537,14,17395,15813,435,228,85,61,4,52,717,16274,15122,326,360,148,326,0,16794,15571,308,446,180,284,0,10573,3833,6498,10083,3156,6740,10207,2717,6786,10143,2549,7107,8923,3277,4907,8821,2896,5925,10338,3078,6844,12279,3582,8436,12240,3729,7969
7,7,24705,21306,1150,1444,183,812,19,23777,20311,1334,1387,61,913,17,23741,19055,1368,1533,224,1613,23,23629,20148,1320,1292,93,927,20,23303,19800,1356,1371,109,825,29,18599,16479,682,846,123,537,16,17711,15480,716,843,33,603,0,17649,14646,842,898,137,1091,19,17649,14646,842,668,100,255,6,22,1110,17591,15410,716,765,59,624,0,17344,15152,846,764,73,473,0,10486,4276,5836,9214,3482,5515,9108,2642,5925,9064,2588,5871,7413,3126,3760,7321,2503,4818,8579,2828,5446,9734,3138,6407,9688,3306,5890
8,8,16534,13999,461,489,1507,100,9,23010,18731,654,708,2704,235,50,23313,17659,835,800,3509,368,46,21161,16816,561,898,2717,216,48,22210,17477,713,846,2845,131,61,10884,9326,265,313,926,54,8,14813,12594,356,416,1227,132,6,16061,12433,504,518,2269,249,26,16061,12433,504,430,2125,33,1,54,481,13809,11568,307,417,1313,111,15,14853,12648,423,386,1286,81,15,7720,2728,4929,9008,2618,6278,11225,4238,6175,11028,3390,7241,10629,5008,4955,10517,4326,6191,11724,4836,6463,13484,6171,7106,13489,5882,7138
9,9,24402,22822,603,451,156,444,13,23445,21709,645,538,137,505,48,23244,20876,749,464,208,857,49,24058,21804,1048,393,235,544,155,23615,21074,1155,538,177,640,115,18469,17458,363,277,98,309,9,17615,16619,415,217,46,251,15,17880,16305,483,283,126,608,30,17880,16305,483,190,97,146,3,52,604,18070,16642,733,160,113,276,60,17906,16224,810,248,119,414,65,11079,3858,6776,9997,3236,6506,10197,2424,7073,10084,2238,7286,8403,3150,4593,8315,2278,6037,9686,2543,6802,11278,2748,8319,11207,2966,7558
