ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,107719,20896,42803,43883,1037,2120,201,100952,20481,45129,35043,730,1613,284,90509,16180,41620,32097,837,3195,163,98869,21148,43705,33840,670,1669,292,89478,16907,40303,32065,610,1982,233,74507,16419,25985,31677,698,1409,118,57816,15316,15783,25680,321,759,105,63938,12714,26659,23805,623,2261,110,63938,12714,26659,22035,292,219,10,236,1773,57506,16181,15870,24365,281,816,120,53592,13293,15639,23602,298,793,55,33465,30515,2572,30034,28126,1908,23400,20640,2247,17535,15318,1768,17558,15522,1593,17208,14900,1618,20824,18147,2197,25188,21597,3335,24866,20886,3086
2,2,88173,69817,10653,5824,1126,1298,85,85625,61257,14111,7671,2315,1194,46,93168,61982,17437,9472,1910,2890,123,85032,60923,13746,7400,2579,1113,39,91940,61378,18005,9967,2281,1710,7,67675,55942,6495,3796,793,898,48,62557,49470,6964,4245,944,815,0,71913,50533,11427,6563,1409,2148,84,71913,50533,11427,5615,941,243,35,237,2882,62451,49583,6902,4216,923,607,0,66490,49387,9307,5990,1014,635,0,42133,25968,15341,38749,24345,14404,38384,19357,17081,32105,18633,12705,32209,18989,12114,31193,17318,12234,36913,20356,15386,44461,24052,19707,43767,23855,18585
3,3,80851,64354,3309,8516,4196,478,216,82129,66044,3521,7917,3862,735,78,92503,73241,4511,9006,4119,779,91,81680,65353,3304,8176,4199,415,55,89804,71326,3326,8997,4909,565,54,54558,43902,2201,5410,2685,336,141,46868,38130,1391,5387,1557,328,4,64206,50780,3023,6256,3023,570,44,64206,50780,3023,5751,1935,75,4,329,2309,46694,38151,1624,4989,1633,251,4,53543,44052,1889,5492,1760,298,4,28023,20965,6514,27895,22322,5573,25825,18795,5855,20980,16313,4283,21115,16356,4226,20575,15613,4258,24627,18744,5301,30216,22941,6919,29452,22494,6238
4,4,98559,4723,1329,92461,333,901,77,95752,4616,1786,87990,402,1314,233,92435,3977,2275,85666,520,1227,121,95591,4919,1937,87480,354,1949,108,91268,4590,2279,83751,274,1411,185,71359,4004,819,66372,240,632,57,68067,3373,543,63292,118,689,14,67194,3151,1425,62216,310,875,82,67194,3151,1425,60235,93,160,13,266,1851,69165,3832,902,63189,69,812,18,66886,3729,1202,60969,60,471,18,50437,49004,1157,43846,43410,436,36454,35141,832,27423,25729,1081,27415,26082,847,26972,25270,798,32133,30587,987,38009,36160,1535,37756,35143,1498
5,5,89665,11267,871,76943,831,911,71,93097,12170,1063,78571,914,861,14,90105,11728,1350,75845,904,1147,64,93122,11061,1184,77888,1636,821,16,92062,12306,770,76344,1698,1095,52,67876,9038,619,57696,623,668,47,71247,9879,619,59754,541,608,0,69643,9668,927,58045,663,854,46,69643,9668,927,56182,432,136,11,404,1883,70223,9181,784,59042,727,594,0,69677,9944,573,57692,716,625,30,51148,47861,2976,45486,42804,2682,44138,40557,2760,37458,33994,2827,37552,34522,2403,36777,33233,2354,41878,38162,3006,48257,43747,4124,47990,42842,4069
6,6,89143,78739,1871,5590,2570,682,97,92411,79165,2760,5946,4290,488,78,91847,77038,3062,5819,4107,1215,93,92274,78217,3236,6051,3906,530,72,92224,76543,3853,6326,4195,743,89,71250,63902,1291,3851,1868,470,66,72065,63501,1721,4231,2201,350,11,75083,64119,2161,4424,2961,916,65,75083,64119,2161,3862,2360,102,9,240,2230,72084,63418,2104,4078,2065,420,16,72894,63291,2500,4120,2467,394,0,56047,34214,20939,54627,31794,22833,55768,33431,19071,52459,33482,18333,52594,34364,17075,51288,31121,17228,56361,35712,19148,63407,41973,20541,63040,39790,22614
7,7,100469,17006,1086,72170,10255,1080,107,90483,19651,928,56004,13242,559,252,91202,23034,1331,51081,15329,1043,100,90696,20775,1256,54457,13223,566,261,91892,23578,1055,50969,14205,512,197,72108,12536,752,52383,6395,746,74,58978,11049,629,41934,4847,356,69,65916,15724,849,38526,10484,750,65,65916,15724,849,37066,9478,125,14,329,2331,59340,11849,669,40988,5343,318,89,59229,13997,457,38093,6204,370,39,42648,41009,1318,36551,35716,835,30101,28315,1276,22492,20716,1219,22536,20922,1092,22091,20273,1002,26729,24821,1360,32201,29742,2141,31871,28969,1961
8,8,105313,21589,1422,81475,917,1274,88,94664,23798,1342,67987,1289,1051,99,91113,21896,2009,65334,1289,1455,131,94196,24275,1370,66462,1779,1001,44,90695,22861,1845,63832,1698,928,73,81294,18667,997,60862,707,946,69,74310,20683,929,51301,748,562,25,72043,19462,1464,49580,976,1127,92,72043,19462,1464,47731,621,112,23,312,2318,74775,21571,995,50651,1105,591,0,71210,20603,1410,47747,961,543,0,56828,52610,3708,46722,43703,3019,43184,38351,3454,36254,31965,3497,36372,32626,2935,35641,31166,3012,40091,35664,3481,45146,40523,4106,44951,39472,4359
9,9,95943,10077,1533,82582,1918,1301,105,96269,20189,1906,70390,3736,832,54,91712,18978,2518,66301,3464,1400,142,96067,21297,2114,68233,4394,897,195,89763,18216,2168,65854,3501,1019,260,77493,9560,1213,64952,1741,1018,85,77638,18530,1424,55312,1700,534,4,77775,18116,2004,53978,3222,1091,94,77775,18116,2004,51935,2766,179,18,405,2352,77936,19387,1661,54101,2189,539,4,73033,16610,1464,52776,1708,649,4,46224,44662,1225,39037,38067,970,35900,33796,1338,29902,27516,1759,29952,28010,1322,29331,26888,1351,33212,30924,1602,37577,35260,1956,37293,33990,2326
10,10,94248,48553,1537,42524,1549,779,76,90807,44609,1314,42624,1712,971,27,93243,44215,2125,44369,1839,1132,73,91093,44115,1220,43160,2108,849,53,92592,45674,1396,42679,1722,1036,116,68356,38159,946,28037,1073,513,55,65793,35139,722,28513,917,556,10,70397,36081,1325,31103,1292,815,48,70397,36081,1325,29891,1009,128,9,223,1731,65005,34722,606,27975,1181,509,85,67678,36823,722,28565,1032,594,60,53525,34818,18122,50373,33191,17182,49107,31767,15592,43204,27743,14937,43265,28558,13944,42320,26371,14516,47528,31121,15519,54062,37022,16517,53871,35327,17760
11,11,104826,29593,1788,70794,2459,1287,83,92042,20980,1816,65868,3293,1268,18,92381,20573,2103,65139,3609,1651,94,93413,21893,2052,65939,3388,1422,22,91615,21637,1843,64405,3389,1175,23,75557,23825,1122,48794,1575,851,56,67748,17878,820,47004,1547,398,0,67929,17320,1324,45993,2454,1211,73,67929,17320,1324,44180,2186,175,24,279,2441,68481,18606,820,47001,1548,394,0,68115,18503,698,46615,1764,540,0,45479,40081,4862,39914,36493,3421,34368,28967,4636,26388,22158,3536,26419,22481,3229,25920,21508,3271,30730,25804,4199,36431,30165,5869,36151,29588,5354
