ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_14_SEN_Total,E_14_SEN_Dem,E_14_SEN_Rep,E_14_GOV_Total,E_14_GOV_Dem,E_14_GOV_Rep,E_14_AG_Total,E_14_AG_Dem,E_14_AG_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_SEN_SPEC_Total,E_18_SEN_SPEC_Dem,E_18_SEN_SPEC_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_AUD_Total,E_22_AUD_Dem,E_22_AUD_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1A,43550,40949,902,384,634,774,19,43227,39826,1203,658,764,904,29,42570,38247,1382,583,794,1371,77,42994,39387,1294,652,798,921,18,42497,38404,1377,710,795,906,0,32925,31453,487,171,378,466,9,32720,30980,571,249,391,534,20,32733,30050,822,329,491,846,48,32733,30050,822,188,399,291,18,96,869,32540,30760,638,231,393,518,0,32325,30265,734,276,456,583,0,22162,10294,10987,20383,8988,11395,15942,7788,7854,15980,7257,8115,15032,7002,7485,21721,6051,14008,18320,8288,9407,18196,7047,10371,18223,6619,10945,17899,6309,10785,20254,6900,12559,23450,7057,15864,23115,7501,14018,19916,6330,12931,17955,4912,12377,17700,5006,12686,17642,4775,11989,17688,5329,12349,17857,4369,12385
2,1B,43679,39737,2114,469,359,1190,31,43087,37897,2565,1135,477,1262,44,42605,36810,2406,1290,430,1631,77,42958,37413,2636,1220,483,1345,23,42591,36657,2672,1284,444,1415,91,33231,30943,1181,243,232,696,15,32114,29330,1294,515,223,760,8,32267,28748,1397,753,275,1018,41,32267,28748,1397,634,144,402,0,78,864,32118,29115,1524,509,206,767,4,31808,28720,1550,402,274,832,8,21833,11433,9566,19989,9726,10263,13583,7249,6125,13604,6829,6324,12913,6609,5893,20483,6723,12112,16680,8448,7721,16544,7285,8533,16529,6837,9073,16235,6494,8933,18678,7323,10546,21772,7747,13587,21328,8060,11668,18083,6683,10778,15436,4952,9919,15210,4965,10235,15118,4746,9657,15116,5226,9878,15351,4435,9990
3,2A,41758,31379,618,537,463,9117,24,43074,31220,1030,1112,473,10044,39,42871,30297,1067,951,573,10141,47,43396,31680,878,1021,602,9778,54,43399,31188,1015,1030,530,10023,54,31469,25196,329,241,304,5511,16,32080,25338,476,321,137,5783,14,32340,24491,685,585,382,6137,34,32340,24491,685,410,221,5172,4,78,1279,32138,25515,439,303,222,5713,10,32258,25239,519,356,247,5868,45,21034,11276,9200,20071,10974,9097,13971,7680,6051,13852,7276,6124,13131,6852,5624,20065,7895,10237,16557,8839,7028,16528,7938,7671,16491,8030,7754,16373,7391,7975,18832,8566,9159,22308,10380,11394,21941,9029,10598,18763,8382,9443,16358,7193,8473,16271,7150,9097,16120,6486,8626,16167,7617,8533,16312,7297,8989
4,2B,41349,29235,656,253,206,11449,22,42231,29129,1030,540,446,11772,60,42590,28720,681,419,261,12569,72,42509,28664,1327,571,448,11905,64,42072,28421,1455,508,561,11580,85,30693,23380,266,85,115,6984,9,31204,23588,493,228,247,6708,31,31919,23420,364,209,147,7642,34,31919,23420,364,54,89,6163,7,112,1710,31593,23621,634,241,215,6840,23,31327,23401,698,222,211,6769,20,20947,10355,9969,20060,10066,9994,14658,7481,6958,14636,7049,7091,13994,6930,6475,20162,7024,11686,17716,8505,8523,17624,7440,9230,17637,7545,9387,17462,6852,9576,19542,7828,10822,22996,8967,13588,22673,8321,12612,19760,7612,11438,17947,6504,10764,17819,6368,11437,17708,5927,10855,17713,6883,10824,17879,6515,11348
5,3A,43805,40792,396,284,223,2176,41,42746,39085,563,361,205,2609,39,42417,37934,611,524,328,2667,66,42580,37809,677,347,264,2351,17,42014,37859,810,457,322,2251,36,35849,33894,222,157,150,1456,19,35407,33011,340,213,95,1751,20,35341,32203,372,360,220,1856,34,35341,32203,372,220,149,1152,6,100,1139,35605,33287,413,232,103,1581,8,35026,32668,453,257,118,1513,8,26571,14868,10774,24674,13943,10731,19976,12068,7554,19833,11631,7577,19181,11746,6596,24706,10364,12348,21908,12506,8654,21826,11284,9547,21814,11274,9728,21564,10394,10070,23736,11452,11237,27037,12476,14003,26480,11967,12784,23808,11290,11662,21774,10370,10560,21662,9996,11654,21522,9554,10789,21623,10643,10963,21836,10007,11806
6,3B,40848,38946,445,464,353,692,31,41965,39529,742,559,353,807,29,42337,39034,533,543,516,1166,47,41635,39032,814,492,492,755,14,42181,39225,545,674,596,945,19,31793,30458,293,331,219,524,18,32573,31156,385,314,181,508,16,33397,31127,340,352,329,833,28,33397,31127,340,228,206,284,6,74,1132,32164,30658,395,373,238,460,5,32860,31208,324,380,307,630,0,24158,14678,8957,23832,14505,9327,17027,10504,6315,16906,10012,6478,16332,10121,5724,24419,11691,10793,21905,13654,7743,21795,12219,8805,21812,12143,9015,21523,11295,9281,23835,12706,10179,27193,14087,12588,26712,13410,11713,23733,12524,10400,21432,11482,9235,21304,10914,10366,21029,10245,9669,21175,11535,9626,21471,11083,10359
7,4A,37321,32932,1523,1071,995,938,47,39952,33800,1972,2378,1090,849,69,42472,33710,2272,3542,1076,1855,72,41351,34622,1969,2652,1253,1006,133,42400,34720,2117,3550,1115,1361,145,29544,26685,914,632,781,571,28,29914,26845,1017,1012,431,602,50,32226,26776,1347,2022,788,1160,49,32226,26776,1347,1764,583,533,13,66,1144,30740,27405,969,1056,528,662,100,31560,27577,1159,1418,589,698,110,18100,10629,7102,17600,10117,7483,10427,6351,3889,10288,5928,4015,9688,5395,3853,18156,8957,7315,14841,9663,4543,14747,8691,5217,14748,8426,5552,14542,8022,5557,16824,9405,6305,19623,11270,7827,19179,10099,6992,16305,9188,6206,13234,7638,5031,13104,7567,5527,13022,7090,5136,12998,7706,5276,13157,7023,5317
8,4B,39035,36517,740,318,301,1251,34,42045,38183,1229,581,406,1726,57,42530,37941,1111,655,406,2236,76,41108,37287,1282,583,338,1496,38,42247,38364,1305,547,516,1388,54,29127,27716,375,119,181,765,21,31049,28958,704,169,220,963,13,31956,29288,598,333,243,1284,46,31956,29288,598,224,145,513,10,72,1106,30737,28764,812,262,177,813,9,31448,29414,778,275,249,784,4,20805,10340,9834,20710,9400,11310,13434,6942,6288,13490,6250,6806,12727,6099,6180,21021,7136,12239,18046,9302,8079,17903,7913,9123,17927,7449,9765,17644,7242,9459,20196,8177,11056,23688,9089,14063,23200,8834,12541,19946,7846,11328,17307,6417,10269,17179,6359,10807,16670,5831,9987,17004,6531,10453,17246,5751,10497
9,5A,40992,39184,472,251,173,963,23,41980,39443,846,382,308,1069,33,42553,39113,764,428,302,1591,54,42363,39195,878,406,359,1297,50,42814,38992,1041,636,405,1319,50,31642,30595,258,101,95,605,13,32389,31049,314,176,156,703,12,32998,30910,411,207,204,989,26,32998,30910,411,90,120,351,7,63,1046,32669,31130,314,197,197,781,8,33208,31428,429,254,158,861,0,23022,9334,13011,21978,8558,13420,16504,7097,9165,16663,6619,9545,15986,6941,8561,22634,6084,15080,19708,8036,11055,19661,6716,12097,19683,6754,12238,19432,6049,12422,21933,7005,14069,25693,7741,17459,25358,7541,16235,22357,6917,14746,21074,6270,14069,20960,6096,14851,20826,5763,14132,20852,6783,14062,20967,5772,14495
