ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_LTG_Total,E_18_LTG_Dem,E_18_LTG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,59832,28409,13778,11055,6734,868,1068,70138,27469,19705,15029,8567,1101,1040,74230,28377,20399,15828,9274,1929,1839,74327,28397,20415,15837,9275,1929,1839,70320,26959,19084,15751,8745,1031,1042,77252,27454,21091,18689,9630,1702,1929,41873,21476,8355,7103,4682,550,608,47459,21781,9729,9726,5007,457,244,55360,22775,13579,11130,6875,1406,1179,55360,22775,13579,9662,5369,201,616,316,2842,47445,21499,9393,10170,5067,635,176,52156,22503,10746,11693,5647,696,390,22315,13529,8450,24871,14475,10396,28380,15109,11548,27907,14771,10981,24767,13887,9871,24764,13611,9893,24643,13264,10155,24637,13716,9580,27825,15142,11339,36535,20218,15522
2,2,65993,42779,7519,4820,10574,691,790,75227,44590,10496,6673,13108,718,502,74248,42581,10249,6466,14164,1282,1011,74288,42608,10250,6467,14166,1282,1011,73184,43612,10226,6567,12377,603,788,72222,42422,10641,6629,11420,837,1392,49860,33496,4957,3291,7694,474,520,53259,34081,6208,4231,7806,428,153,58499,35116,7109,4647,10652,931,658,58499,35116,7109,3745,9284,170,283,302,2490,51857,33233,6219,4025,7252,348,182,52508,33238,6803,4026,7058,367,439,27237,14191,12649,29836,13936,15900,33128,15338,16064,32531,14346,16239,29220,14345,14115,29225,14322,13949,29019,13210,14532,29053,14018,13771,32356,15267,15879,41134,20001,20370
3,3,70299,33064,22961,10066,4025,1231,821,73788,29700,26529,12160,5473,1352,1235,74088,25713,28556,14101,5170,2350,1227,74341,25770,28651,14141,5171,2351,1227,76221,28219,29818,12832,5537,1438,1114,74624,26327,30481,12411,5362,1343,938,52326,27714,14340,6819,3027,836,544,48806,24663,12126,7675,3057,580,520,56713,22507,19336,9807,4084,1806,856,56713,22507,19336,8356,3039,237,443,287,2508,49863,23443,14175,8120,2914,596,397,50440,22950,15007,8419,2882,436,322,23393,13974,8863,23129,13987,9142,25030,13584,9939,24626,13079,9176,20490,11683,7853,20515,11393,7930,20376,11063,8142,20396,11548,7624,23306,12843,9174,29079,16306,12093
4,4,60128,37187,10451,7883,4562,896,743,72247,41012,14535,10673,5238,1492,1272,73328,37324,16338,11375,7260,2165,1494,73440,37382,16345,11379,7260,2165,1494,75036,41073,14931,12913,5667,1602,1041,77984,37297,18905,14027,6404,2476,1614,44202,29131,6569,5014,3191,577,452,51784,32321,8226,6660,3021,746,482,56762,31055,11198,7978,5326,1602,958,56762,31055,11198,6679,3838,223,462,275,3032,54084,32768,8511,8264,3182,767,300,56500,30969,11278,8805,3542,1086,472,23646,12293,10864,26139,13282,12857,30458,13554,15051,29994,13468,14080,26839,12843,12880,26843,12703,12896,26708,12155,13119,26680,12717,12486,29836,13743,14637,38252,17758,19710
5,5,68931,38911,11102,7482,11300,875,990,71644,36423,14004,8095,12145,982,1971,74060,34434,14666,10292,13856,1792,1335,74196,34495,14681,10302,13863,1792,1335,75104,37616,14333,9722,12671,890,1489,73431,34967,14658,10906,13071,878,934,55409,33019,7771,5390,8852,613,668,51988,29541,8332,5410,6941,525,540,60889,30153,10741,7516,11348,1326,901,60889,30153,10741,6320,9823,180,405,386,2881,55512,30724,9143,6758,7422,534,402,55271,28739,9702,7477,7999,421,208,26887,15300,11080,26429,14770,11659,28759,14956,12099,28144,14268,11550,23989,13421,9650,23981,13208,9665,23820,12622,9990,23825,13161,9432,27167,14509,11351,34352,18591,15063
6,6,72605,9523,38544,22747,2252,1146,603,68473,7407,37442,21057,2379,1034,807,74026,7593,40288,23650,2515,2471,906,74559,7614,40544,23860,2516,2473,906,67776,7467,38000,19244,2721,1323,914,70373,7948,41732,18187,2875,1984,927,48876,8234,22981,15993,1666,754,367,34302,6332,11318,14331,1230,422,533,51637,6595,25995,16662,1910,1772,588,51637,6595,25995,15282,1416,212,377,326,1434,34512,6324,12182,13416,1332,438,563,37538,6840,15481,12671,1218,511,443,17111,15019,1778,17886,16252,1634,17389,14565,2096,16955,13574,1898,13113,10975,1509,13119,10698,1515,13029,10753,1580,12991,10697,1481,15494,12718,2004,19754,15811,3526
7,7,64462,20481,23573,15672,4849,1132,1115,72791,17610,32221,18118,5332,1322,1243,73716,16570,31753,19329,5828,2383,1408,73952,16601,31847,19378,5830,2383,1408,74946,16826,33419,19558,5394,1399,1271,76297,15319,34478,21816,5119,1863,1045,45393,16910,14348,10293,3534,734,686,43844,14955,13236,11059,3282,602,536,54579,14453,21417,13450,4524,1711,992,54579,14453,21417,12017,3502,136,540,273,2241,45722,14501,14339,12279,3122,641,612,47919,13656,16802,13289,2906,569,346,20000,13702,5894,21693,15421,6272,23490,15441,6844,23073,14848,6114,19217,13088,5272,19196,12716,5325,19093,12606,5455,19084,12819,5129,22042,14539,6365,28274,18461,9194
8,8,45267,19911,7926,4870,12431,629,811,65079,24171,12494,8946,20089,719,736,74347,23929,13664,10632,25507,1581,2373,74422,23949,13671,10636,25523,1581,2373,70440,25242,12144,10718,22981,623,930,75649,24991,13410,12563,25157,1200,1260,34785,16534,5279,3263,9364,455,532,43197,18582,7024,4775,11941,344,297,57569,20043,9592,7290,19632,1197,1537,57569,20043,9592,6131,17634,171,740,281,2977,46915,19759,6876,5815,13455,283,337,51694,20420,8296,6756,14742,494,431,12224,7509,4456,14389,8558,5831,19681,10796,7763,19220,10128,7452,17521,10378,6508,17541,10267,6489,17404,9874,6651,17419,10077,6368,20461,11501,8054,31622,17555,13485
9,9,48711,23830,7841,4744,12238,621,916,69158,30788,13098,7573,17953,824,1593,74580,30148,13322,9379,21423,1595,1950,74654,30163,13325,9381,21431,1595,1950,71107,31406,11481,9783,18479,782,1568,75013,31922,13322,10744,19360,989,1222,36815,19260,5197,2971,9074,410,576,46870,23494,7079,4765,10304,345,298,57417,24719,9105,6221,16493,1167,1222,57417,24719,9105,4981,14648,156,566,289,2953,48235,23901,6618,5873,10709,321,255,52438,24596,7990,6425,11869,525,165,14043,8286,5509,16435,9264,7171,21880,11390,9188,21464,10633,8998,20005,11211,8081,20001,11078,8054,19865,10519,8328,19886,10890,7932,22803,12167,9607,33733,18136,14982
