ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_16_AG_Total,E_16_AG_Dem,E_16_AG_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_AG_Total,E_20_AG_Dem,E_20_AG_Rep,E_20_AUD_Total,E_20_AUD_Dem,E_20_AUD_Rep,E_20_TREAS_Total,E_20_TREAS_Dem,E_20_TREAS_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,69764,50820,5063,13021,1069,681,79,66681,46215,5807,12605,2443,770,64,64863,42448,5581,13453,2534,1184,65,65227,42592,5597,13741,2544,1187,65,65701,44693,5427,13334,2419,839,86,64895,42946,5571,14616,2497,1090,153,52690,41501,2782,7532,767,460,53,49378,38498,3088,6500,767,478,14,50411,35980,3424,8289,1770,870,46,50411,35980,3424,7063,1482,79,21,265,2097,48853,37589,2828,7046,726,535,18,48634,36368,3152,7761,723,513,7,27707,19530,7799,23239,16582,6657,24473,14842,8506,24254,14522,8730,23536,15568,7968,19185,13693,5115,19357,13966,5076,23030,14938,7427,26027,16400,9200,25348,16299,7931,24996,14755,8537,25141,15379,8200
2,2,67888,56652,2373,7599,1270,343,90,66509,54457,2918,7631,1502,267,87,65465,50480,3350,8235,2317,930,82,65669,50569,3361,8352,2337,933,82,66699,54643,3215,6944,1806,243,104,65428,53092,3234,6638,1958,496,42,53070,46102,1335,4636,871,250,67,50872,43902,1546,4674,516,100,29,52020,42093,2056,5327,1585,682,56,52020,42093,2056,4622,1363,66,15,149,1656,51157,44141,1716,4314,788,116,41,50876,43547,1936,4127,945,229,18,30999,19819,10740,28377,18178,10199,30239,15601,13415,29968,15288,13524,28953,16354,12599,24749,15604,8738,24940,16030,8552,29161,16453,12011,33250,17845,14953,32374,18312,12977,31970,15951,14179,32107,17045,13467
3,3,63617,59852,1121,1249,1265,257,33,63404,58354,987,2398,1626,381,144,65211,57407,1767,2103,2669,849,43,65250,57434,1769,2137,2674,850,43,63048,57847,1082,2597,1567,379,107,64933,58419,1447,2891,2211,515,8,49588,47198,660,708,897,158,17,48845,46190,587,1311,490,235,4,52188,47032,1106,1261,1866,581,17,52188,47032,1106,968,1636,51,4,121,1270,48760,46125,552,1447,526,154,10,50705,47570,815,1308,859,156,10,34526,18516,15629,33321,17388,15933,34541,15666,17433,34337,14896,18294,33166,15835,17331,29463,16676,12407,29695,17514,11794,34177,17430,15998,39073,19734,18877,38262,20004,17124,37736,17069,18828,37883,18281,18157
4,4,67630,65348,657,935,346,362,45,65688,61862,1549,1807,586,380,66,64186,59414,1072,1190,420,1297,47,64282,59505,1074,1214,433,1304,47,65134,60683,1993,1731,434,300,35,64198,59591,2178,1277,504,327,21,52015,50556,389,607,216,253,30,51310,49645,658,730,152,111,14,50576,47347,661,719,281,934,20,50576,47347,661,432,173,91,5,120,1747,50885,49035,961,675,135,133,0,50505,48515,1134,452,217,169,4,30577,15753,14273,28320,13967,14353,30409,10653,18226,30171,10760,18018,29310,11643,17667,24314,11498,12407,24521,11797,12320,29324,11721,16800,34106,12658,20928,33331,13145,18959,33053,11098,20073,33160,12091,19450
5,5,61401,55537,2908,1934,1007,256,45,63862,56014,4248,1851,1465,555,171,64948,55244,4869,2658,1482,784,93,65035,55304,4881,2669,1484,785,93,63583,56203,4101,1634,1247,447,172,64730,56496,3982,2201,1009,510,82,47766,43906,1826,1285,690,170,30,49755,44886,2539,1067,865,211,15,51358,44730,3122,1802,1046,592,83,51358,44730,3122,1355,855,63,15,142,1076,49856,45246,2523,930,810,213,0,50925,46023,2442,1428,689,270,0,29374,12861,16020,27973,10896,17077,30682,9805,19552,30350,9961,19130,29571,10978,18593,25196,10523,14233,25168,11045,13706,30121,11149,18268,35241,12751,22053,34748,12844,20872,34445,11241,21632,34626,12315,21134
6,6,68882,64791,809,2503,456,390,27,65905,60823,1021,3064,662,524,42,65144,59017,1096,2894,477,1035,53,64059,58544,1035,2405,482,1032,53,65340,60386,997,3034,702,485,44,64568,59395,1011,2969,607,503,63,54376,51408,540,1844,316,287,23,52751,49177,624,2199,386,317,23,52727,48240,742,2155,341,779,31,52727,48240,742,1879,240,69,11,97,1449,52546,49069,594,2199,380,280,23,52083,48787,593,2079,311,275,4,29848,13683,15507,27312,11498,15814,29240,9136,18910,28985,9128,18516,28363,10409,17954,23343,9614,13315,23681,9937,13296,28169,9884,17600,32671,10750,21498,32185,11070,20079,32000,9598,20834,32021,10183,20566
7,7,69392,61180,771,6561,630,398,61,66242,57794,1073,6350,798,296,80,65758,55384,1068,7005,720,1077,80,65917,55480,1068,7142,730,1080,80,65835,57133,1165,6612,794,306,89,65928,56645,1162,6629,657,653,64,54272,48997,462,4172,437,287,42,52785,47470,600,4053,401,189,0,52754,45806,637,4572,508,792,64,52754,45806,637,3976,366,64,10,140,1755,52830,47420,632,4095,400,211,0,53285,47790,657,4135,329,393,0,33119,18928,13554,31118,17529,13589,31525,13642,16768,31125,14002,16082,30527,15139,15388,24372,12652,11352,24379,12607,11403,29824,13827,15392,34523,14952,19174,33868,15255,17703,33611,13824,18290,33684,14389,18190
8,8,64721,63105,507,470,427,254,26,63032,61138,449,614,605,456,51,64985,60870,877,727,562,968,30,65051,60932,877,758,575,968,30,62754,60769,587,531,548,296,55,64107,61701,764,612,495,210,48,50824,49832,320,244,263,178,22,50975,49800,337,336,240,253,4,52663,49922,547,382,378,678,21,52663,49922,547,214,250,35,8,78,1609,50885,49835,272,296,233,189,10,52145,50745,498,427,285,182,0,32606,11598,20498,31330,10324,21006,34194,9041,23796,33896,9692,22086,33548,10916,22632,28027,10098,17409,28121,10752,16874,33686,10677,22161,39696,11432,27800,39203,13169,25039,38831,10426,26708,38863,10931,26587
9,9,66749,61200,704,4243,411,317,23,63759,57562,1097,4456,447,462,0,63475,55010,1365,4977,487,1067,39,63610,55089,1367,5097,487,1067,39,63535,56982,1178,4632,411,394,0,63767,56705,1232,4820,448,491,11,52615,49341,388,2452,274,221,17,50640,47020,655,2471,252,213,0,50705,45281,851,3041,329,762,32,50705,45281,851,2399,208,47,0,126,1793,50210,46495,710,2575,263,208,0,50215,46410,660,2665,217,232,0,30914,14887,15524,27826,13165,14661,29313,10634,17774,28967,11528,15861,28609,12949,15660,23101,10707,12082,23152,11227,11568,28226,11739,15897,33067,12138,20594,32461,14143,17489,32179,11774,18940,32303,12713,18587
