ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_TREAS_Total,E_22_TREAS_Dem,E_22_TREAS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep
0,Un,14,9,2,2,0,0,0,17,10,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,1,1,0,0,0,11,10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,6,4,2,6,4,2,8,5,3,7,4,3,7,4,3,6,4,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,56691,54248,1236,408,316,582,30,57117,54028,1549,551,403,652,5,59444,54811,2138,575,473,1061,57,57232,53990,1619,579,407,725,4,59589,55785,1923,655,488,738,1,44731,43298,697,199,187,385,19,45639,44056,532,331,204,465,0,48427,45478,1306,310,307,693,38,48427,45478,1306,161,209,171,6,99,997,45895,44310,568,292,212,505,0,47875,46140,774,284,252,464,0,33303,18600,14105,33354,16692,16662,33537,13390,18379,33457,13103,19235,31099,15752,15322,31211,13440,17283,30915,13476,16925,32774,14107,18078,38112,15986,21548,32998,14474,18198,32117,13428,18637,32080,14156,17566,31907,14186,17713,31792,13381,17460,31517,12986,17862,30683,580,22030
2,2,55090,52400,1116,472,678,496,36,58282,54526,1854,403,987,625,54,59983,54831,1974,796,1013,1056,40,58607,54266,1797,354,1608,634,31,60509,54249,2320,780,2146,846,0,40373,38917,598,176,397,293,16,42927,41182,790,197,394,350,0,45212,42112,1144,408,580,732,16,45212,42112,1144,267,475,182,5,117,910,43529,41419,814,161,761,410,0,45017,42380,915,315,934,453,0,29228,15283,13387,29987,13620,16367,30688,10906,17851,30412,10603,18724,27026,12290,14719,27192,10249,16451,26968,10395,16113,29422,11253,17526,35380,13320,21478,29832,11684,17779,28904,10779,18096,28998,11338,17320,28649,11421,17221,28538,10617,16892,28351,10206,17336,26462,103,21035
3,3,55871,51985,1806,469,1210,473,30,56831,52020,2327,613,1358,556,1,59173,52325,3143,820,1605,1017,60,56931,51958,2348,768,1453,533,35,59199,53314,2692,911,1562,603,37,40945,38791,970,197,694,312,20,42693,40305,967,251,815,310,4,44983,40857,1843,404,989,667,39,44983,40857,1843,260,866,154,25,77,901,43009,40559,999,320,838,334,14,44882,42341,1127,412,696,323,8,30186,14915,14708,29777,12984,16793,30360,10656,17886,30348,10230,19051,26840,11947,14891,26987,9920,16623,26716,10011,16251,29181,10936,17655,34938,13222,21163,29404,11332,17745,28414,10352,18021,28496,10866,17330,28222,10940,17272,28153,10263,16950,27948,9814,17457,25731,0,20903
4,4,54675,51764,913,583,537,1015,32,58182,54285,1277,753,834,1312,7,60096,54281,1592,899,1021,2000,28,58888,54865,1580,801,574,1349,26,60187,55079,1632,1140,780,1420,32,40731,39126,478,255,298,618,20,44377,42232,503,467,364,838,0,46280,42682,915,446,613,1318,17,46280,42682,915,299,483,632,5,74,1190,45198,43245,592,353,257,789,0,46412,43754,807,537,490,815,0,28240,13902,13957,29762,12906,16856,31352,10231,19475,30909,10091,19779,28149,12135,15985,28295,10401,17426,27985,10348,17119,30346,10983,18762,36226,12837,22870,30726,11226,19139,29813,10376,19373,29852,10997,18486,29610,10884,18708,29494,10230,18194,29313,9853,18709,28407,188,21710
5,5,50301,44452,1248,502,586,3863,48,56233,48907,1490,604,1287,4016,8,59076,50079,2019,915,1370,4760,66,57453,49580,1689,924,1327,3993,18,59053,50886,2120,699,1421,3772,234,37000,33408,651,206,347,2497,28,42293,38003,936,298,472,2620,0,44923,39114,1192,469,861,3234,42,44923,39114,1192,291,730,2335,11,65,1185,43531,39057,913,538,423,2656,0,45390,40558,1022,502,638,2496,0,26003,14164,11383,26969,12585,14384,27947,10076,16134,27748,9892,16899,25015,11413,13594,25113,9704,14935,24900,9692,14755,27363,10672,16081,34126,13307,20234,27816,11116,16366,26870,10332,16529,26970,10888,15812,26664,10744,15919,26634,9994,15670,26407,9717,16033,25204,108,19025
6,6,59201,50042,1283,300,319,7668,28,58923,48896,1557,373,529,8046,26,59188,47803,1715,509,372,8781,53,59063,48594,1852,354,515,8212,36,59261,48732,1871,821,438,7990,37,44780,38948,704,137,189,4953,16,44991,38771,633,193,307,5070,4,45850,38459,1005,265,232,5753,39,45850,38459,1005,107,163,4694,8,78,1336,45094,38630,804,207,261,5155,0,45757,39327,944,268,238,4980,0,28000,14566,12874,28020,12984,15036,27920,8953,17548,27537,8798,17659,24701,10581,14111,24929,8982,15490,24587,8684,15402,26685,9356,16823,32041,10742,20865,26778,9441,17088,25606,8433,17152,25670,8965,16378,25474,9000,16473,25428,8253,16243,25261,8070,16562,24349,210,18906
7,7,57812,43842,8431,2917,2113,1127,77,60523,39228,12842,5244,3182,1166,147,59100,35020,14355,5140,3836,1882,86,59723,38729,12811,4675,3398,991,102,59227,34792,14722,5663,4374,1026,119,45764,36908,5166,1804,1423,734,50,43439,32861,5869,2874,1159,568,0,46041,30230,9214,3287,2513,1327,63,46041,30230,9214,2434,2165,360,18,160,1460,43524,32936,6136,2542,1435,532,0,43086,30345,7060,3386,1868,426,15,29144,16106,12636,29059,16231,12828,26934,14123,10980,26553,13925,11816,23527,14545,8923,23694,13175,9953,23361,12867,9947,25363,14170,10526,28347,16347,11519,23564,13759,9428,21096,12365,8680,21083,12699,8120,20863,12515,8325,20758,11974,7878,20614,11900,8200,20828,11901,8496
8,8,63028,10843,44046,7594,1369,1732,121,57984,10561,39713,6241,1800,1370,81,59362,9100,41209,7300,2516,2614,95,58829,10212,41306,5625,2073,1259,80,58026,9635,40426,6561,1816,1386,30,41026,9378,26880,4116,864,1073,74,28393,9316,14826,3382,461,417,0,40439,8022,26651,4457,1513,1742,68,40439,8022,26651,3185,1358,302,20,122,779,27688,8604,15241,2772,525,311,0,28155,7899,15747,3512,477,293,0,12894,10409,2334,14831,12728,2103,13356,10729,2029,12745,9902,2415,10782,9211,1560,10833,8773,1763,10643,8692,1696,11944,9639,2036,13588,10556,2788,10259,8310,1820,8094,6503,1569,8010,6504,1414,7962,6380,1572,7840,6034,1450,7839,6152,1525,7955,6267,1509
9,9,59026,21930,30101,4927,2353,1545,62,60097,18203,33650,5938,2568,1368,36,59571,14890,34572,6336,4099,2588,98,61587,18192,34576,6518,3688,1259,46,60800,16898,33748,6961,4195,1519,36,41442,18762,18036,2976,1536,950,50,32960,15947,12239,3292,855,642,0,42238,13084,22371,4049,2552,1779,72,42238,13084,22371,3097,2371,314,12,154,835,34082,15990,13562,2980,1076,555,0,34443,15216,13755,3325,1632,539,0,19180,13181,5757,19711,14382,5329,18467,12770,4666,17973,12243,5095,15515,11831,3640,15576,11166,4066,15313,10871,4074,16929,12036,4484,18965,13305,5369,14980,10800,3957,12474,8934,3496,12362,9038,3184,12270,8869,3385,12156,8472,3132,12080,8533,3244,12304,8688,3320
