ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,73868,66953,1664,1965,355,3247,61,72404,64341,2453,2314,540,3406,68,71739,62103,2372,2307,572,4334,173,72773,64519,2521,2196,546,3460,155,72659,63929,2689,2442,581,3173,136,55589,51292,945,1167,223,2084,38,54826,49787,1366,1410,326,1974,27,54734,48386,1462,1464,380,2875,110,54734,48386,1462,1115,220,1494,45,104,1908,55041,49925,1363,1306,283,2120,22,55059,50141,1140,1437,291,2074,0,35025,12073,21737,31920,9660,21516,32108,7331,22659,32019,6874,23697,27404,10084,14422,27052,7447,19605,31110,8054,21843,36169,8985,26389,35970,9559,24313
2,2,72606,56497,4313,4870,4136,3727,134,75900,56433,5420,6161,5526,3799,124,73585,52912,6038,6176,4436,4718,155,76555,55971,5763,6248,5784,3675,161,74654,54477,5990,5692,5638,3888,170,60633,48584,3108,3286,3433,2745,100,59849,47932,3578,3685,2097,2498,4,61076,45139,4426,4375,3764,3622,115,61076,45139,4426,3232,3021,1789,45,270,3154,60741,48149,3585,3871,2421,2542,4,59731,47205,3718,3907,2313,2432,8,33338,23865,8720,28352,19769,7605,28680,20328,5882,28836,20296,7236,28379,23126,3857,27849,21240,6609,29990,22692,6089,33195,25759,6671,33212,25417,6377
3,3,66578,59804,2839,2134,908,1231,71,68989,60193,3440,2702,1570,1254,36,70949,60237,3974,2657,1440,2646,100,71298,62979,3232,2383,1518,1340,19,72064,62694,3896,2718,1310,1525,37,50119,45938,1646,1271,593,796,32,51513,46587,1827,1648,693,762,0,54949,47679,2542,1715,1028,1851,69,54949,47679,2542,1244,767,359,19,138,2201,53365,48706,1858,1260,647,752,0,54426,49292,2138,1466,544,884,0,33984,14237,18974,32174,12822,18561,33230,12387,18277,33132,11316,20089,31002,16268,12114,30630,12235,18395,34065,14195,18375,38888,16715,21264,38724,16750,19927
4,4,66774,18766,14883,31068,2066,1177,159,71491,17645,20613,28342,4851,1363,451,73501,16343,24974,25895,5480,2429,325,71298,17873,21051,26422,5291,1570,375,72301,16648,23381,25891,5791,2798,436,47776,15747,8758,21797,1294,818,92,41354,14721,4861,19310,1656,692,54,52529,13930,15327,19069,3372,1730,199,52529,13930,15327,17758,3180,232,130,187,1785,42148,15551,5575,18429,1804,600,205,43059,14076,7024,18434,2593,899,165,26103,21186,4567,22474,18160,4010,20130,15100,4005,19215,14004,4237,16806,12918,2647,16540,13222,3318,19260,14676,3836,21902,16759,4825,21612,16106,4180
5,5,66941,50106,4457,10123,1683,1183,245,72887,53369,5766,11278,2644,1345,454,76345,53691,6356,11541,2408,2692,322,74797,54122,5617,12389,2884,1547,490,77653,56455,5261,12427,2413,1909,167,49925,38134,2908,7240,1074,853,128,54233,40962,3543,7665,1138,812,69,57513,41793,4041,8204,1516,1889,218,57513,41793,4041,7288,1062,452,98,182,2597,55718,41305,3459,8691,1321,797,59,57707,43185,3321,9044,1126,1005,14,26096,12260,13377,25067,10925,13652,26635,10520,13902,26393,10273,14593,23278,11625,9782,23062,10941,12121,27285,12051,13854,32407,14551,16965,32250,14428,15739
6,6,73175,35798,25529,9216,2387,1513,165,71757,33853,25332,8933,3376,1233,249,72548,30802,28684,9088,2547,2813,185,71208,32614,25719,9207,3340,1439,218,70573,32242,25546,9369,2904,1846,154,52512,29262,15586,5645,1642,1008,91,43272,27806,7809,5951,979,571,12,53904,26171,18564,5948,1840,2091,118,53904,26171,18564,5108,1557,224,81,178,2021,42635,26826,8626,5501,819,701,15,43532,27333,8848,5409,1134,743,10,23013,14708,7807,20112,12475,7095,20216,11462,7085,19472,10933,7069,17460,11275,4704,17157,11484,5673,20148,12382,6680,23624,14786,8317,23458,14372,7357
7,7,70686,61162,4690,2399,2061,636,93,73578,63531,4331,2838,2482,522,35,75349,61692,5870,3104,2784,1548,115,72057,61452,4740,2856,2609,592,21,74131,62508,5495,2531,2573,879,34,55969,49666,3000,1510,1451,431,46,56784,51060,2409,1700,1206,383,4,59801,50271,3975,2091,1962,1168,68,59801,50271,3975,1683,1521,111,21,199,2020,55668,49592,2628,1598,1316,396,4,57381,50919,3172,1373,1260,509,0,42861,23022,19211,40175,20006,19219,41749,23370,14563,41074,20061,19108,39516,26188,10637,38905,23755,15150,42740,25796,15121,47588,30890,15813,47726,30549,15529
8,8,68801,56350,3944,3817,4291,650,111,71211,56558,4702,4377,5380,688,142,73777,55400,5655,4651,6262,1586,103,74229,57607,5090,4536,6330,1078,184,75843,57851,5304,5404,6726,1048,183,55409,46692,2620,2630,3104,445,75,53960,46840,2132,2564,1867,417,34,59717,46334,3918,3298,4773,1198,74,59717,46334,3918,2746,4283,147,31,201,2057,56212,48100,2371,2612,2261,493,40,57644,48044,2696,3307,2771,466,33,39592,19079,19983,37503,16544,20210,38609,18772,16450,37855,16440,19680,35719,21130,12141,35308,19245,16063,39139,20973,16428,43677,25492,17313,43677,24785,16929
9,9,66783,57315,4884,2500,1158,1230,97,72955,60323,6424,3853,1495,1264,128,74290,59286,6818,3437,1883,2650,147,75258,61186,7610,4354,1251,1230,33,76332,61407,7716,3356,2364,1415,163,48729,42966,2815,1553,720,803,51,51348,45029,2707,2110,674,810,7,55449,45768,4068,2156,1238,1888,87,55449,45768,4068,1698,985,379,35,140,2376,51929,45449,2928,2249,555,744,7,53282,46485,3630,1449,940,735,8,31677,13896,17171,30696,11770,18148,32843,11837,18143,32456,11406,19026,29603,14273,12831,29249,12904,16345,33861,13958,18150,39755,16878,21917,39661,16542,20687
