ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_16_GOV_Total,E_16_GOV_Dem,E_16_GOV_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_20_GOV_Total,E_20_GOV_Dem,E_20_GOV_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,57517,55303,705,380,485,702,44,56584,52802,1380,1144,697,809,51,55947,51469,1182,916,646,1304,51,55903,52874,1120,956,594,544,44,55813,52228,1285,957,584,566,22,46386,44929,435,221,301,516,24,46454,43919,885,807,218,578,36,46626,43304,793,693,451,1008,35,46626,43304,793,510,308,114,6,128,1463,46454,44338,742,688,264,422,35,46244,44074,888,614,315,414,12,29384,16667,12196,27948,15944,12004,28683,12296,14235,28427,13066,14147,27955,12839,13681,21993,9773,11783,29658,12438,16332,30641,14759,15380,30235,16310,13216,30324,9216,20574
2,2,54233,51864,651,456,827,456,29,55073,52318,858,759,826,373,32,56448,51940,1208,709,880,1255,61,55669,52466,1022,538,972,282,8,57412,53749,1149,728,1099,261,1,43327,41823,377,224,534,359,21,44450,42905,464,466,380,238,0,46794,43650,760,371,633,935,39,46794,43650,760,200,423,84,9,123,1545,44730,43140,604,305,526,187,0,46560,44740,729,320,589,199,0,30650,16044,14224,30307,15281,15026,31616,13285,16235,31458,14247,16008,30987,13761,15864,24788,10007,14422,33438,13613,18953,34765,16666,17559,34439,18119,15612,34412,9733,24205
3,3,54835,53050,554,333,450,517,21,54246,52046,751,387,507,543,12,57090,53344,882,417,757,1100,72,54521,51980,795,481,662,552,1,56613,53440,913,571,858,650,15,44298,43116,349,167,291,393,16,44797,43446,526,136,213,470,10,48269,45537,623,258,537,842,40,48269,45537,623,125,373,101,6,176,1328,45321,43631,586,297,284,466,0,47186,45336,633,324,438,421,0,32282,16825,14971,31281,15463,15818,33009,14107,16682,32702,14684,16726,32161,13670,17064,26400,11084,15000,35341,14698,19780,36953,18077,18380,36633,19306,16628,36617,11072,25107
4,4,52849,47783,1092,1203,2440,470,63,55132,48751,1577,1424,3144,370,67,56519,48373,1805,1457,3387,937,112,55664,49055,1663,1516,2968,394,53,56779,49204,2230,1628,2717,390,57,41418,38047,713,662,1712,332,50,42160,39105,814,749,1179,195,0,45733,39838,1253,945,2473,767,74,45733,39838,1253,614,2144,67,10,164,1643,43585,40115,985,924,1207,255,0,45370,40835,1568,1023,1605,268,0,27829,17092,10545,27354,16155,11199,29667,15905,11584,29564,16217,12081,29031,15508,12143,23820,12492,10922,31736,16603,14118,32996,20023,12349,32839,21180,10734,32661,13141,18972
5,5,57402,51768,1276,1061,2895,526,24,57949,51448,1554,1322,3586,350,24,58966,50519,1927,1278,3397,1190,64,58555,51660,1564,1337,3486,290,25,58781,51180,1532,1308,3554,406,128,47381,42974,981,791,2281,428,18,45966,42317,1162,691,1594,194,27,49988,43396,1495,993,2668,941,46,49988,43396,1495,592,2223,113,13,194,1962,47126,43292,1172,770,1675,194,23,47936,43771,1171,893,1662,310,34,33804,23179,10273,32797,21863,10934,35036,22573,10165,34753,21787,11814,33899,20861,11759,27857,17978,9517,35302,22043,12324,36001,25399,10076,35628,25453,9414,35304,18525,16288
6,6,52170,49819,745,581,660,424,48,53763,50434,1258,789,954,565,53,55976,50807,1342,973,999,1316,79,54252,50513,1289,890,1089,455,109,56170,51847,933,935,1437,578,152,40488,39062,429,287,432,303,31,41960,40325,738,289,234,335,35,45636,42023,853,592,730,992,44,45636,42023,853,327,543,101,13,131,1645,42355,40500,657,323,458,357,70,44925,42645,668,379,707,372,70,26921,13984,12697,26756,13142,13614,28422,11030,15385,28128,12093,14604,27671,11437,14709,21652,7979,13319,30103,11469,17690,31306,14012,16727,31050,15688,14555,31043,8053,22456
7,7,53315,51172,667,424,490,639,52,54394,51848,733,358,644,785,93,56259,51524,1181,865,678,1388,92,54853,51826,847,541,731,830,122,56726,53102,1103,843,800,612,52,42034,40677,372,236,319,449,27,43875,42031,482,238,433,620,6,46266,42705,826,662,483,1087,66,46266,42705,826,400,332,118,30,140,1715,44626,42328,606,411,523,650,10,46119,43769,804,518,516,477,10,28532,15636,12480,27687,15125,12562,29518,12587,14779,29205,13412,14491,28682,13303,13940,22624,9520,12695,30955,12954,17050,32053,15353,16069,31765,16786,14104,31807,9771,21469
8,8,56773,54641,645,405,494,625,42,56902,54027,976,661,573,717,11,56429,51575,1083,672,702,1593,73,56221,53310,1104,626,568,585,0,56220,52827,1161,699,529,569,12,44217,42873,374,219,306,467,20,44992,43237,527,318,335,592,0,45423,42055,695,344,469,1184,56,45423,42055,695,157,308,130,5,187,1886,44975,43277,602,318,350,433,0,45375,43257,831,385,424,440,6,29419,15924,13101,28162,14908,13254,29862,11979,15643,29641,12878,15209,29149,12466,15146,22398,8967,13030,31098,12180,17884,32028,14551,16843,31755,15824,15035,31793,9023,22228
9,9,53629,50850,823,494,1132,388,29,54965,51692,974,660,1647,206,70,56269,50047,1494,782,2197,1069,106,54947,51030,1052,709,2029,232,97,56067,50961,1161,881,2458,406,38,39915,38266,481,260,664,248,21,41763,40038,601,234,772,92,14,43823,39823,896,482,1376,743,74,43823,39823,896,257,1138,82,28,167,1432,41885,39780,646,275,1003,110,15,42720,40045,695,379,1293,221,4,29964,14763,14907,29467,13927,15540,31027,13765,15040,30858,13275,16293,30388,12961,16038,24836,10495,14027,32782,13903,17972,33971,17151,16278,33681,18186,14806,33637,10465,22701
