ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_16_AG_Total,E_16_AG_Dem,E_16_AG_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_AG_Total,E_20_AG_Dem,E_20_AG_Rep,E_20_AUD_Total,E_20_AUD_Dem,E_20_AUD_Rep,E_20_TREAS_Total,E_20_TREAS_Dem,E_20_TREAS_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,208290,134786,20711,26785,26834,1675,377,228709,145755,24060,27317,33558,1777,427,249833,159968,25394,25362,37453,3083,395,250243,160098,25447,25673,37480,3085,398,230640,146437,25308,27381,33701,1657,360,231388,147909,24868,26898,32297,2230,547,179761,121577,15568,21128,21773,1338,295,179573,127042,13293,19411,18531,720,59,217535,144884,19119,20771,30794,2413,303,217535,144884,19119,17518,28067,186,47,1109,6605,179420,128029,13281,18499,18372,549,52,183623,131080,13387,19144,18563,777,93,101397,78700,21651,96542,77222,19320,115326,91457,20515,112303,86615,24077,110025,88258,21767,100444,85278,13519,100128,85817,12972,115281,93021,20145,134089,107740,25345,129856,101101,24444,128634,97507,26322,129444,99330,25376
2,2,254243,85747,84830,73800,17017,4579,977,264383,71552,100993,81045,19411,4056,289,258949,61460,101220,78558,23189,4802,776,260277,61661,101740,78751,23196,4803,776,266791,70506,105161,79404,20331,4134,221,264081,66030,110200,75226,21204,3797,321,177791,70056,53120,45473,12259,2851,669,165715,56201,55716,43882,8872,1204,4,188871,51112,69380,53400,17389,3486,565,188871,51112,69380,45235,16065,298,74,1868,4839,167458,55785,58852,43092,8802,1216,0,164798,53302,58727,41826,10221,967,0,93193,71760,20534,86377,72174,14203,90452,71647,17067,86048,67943,16944,84880,69762,15118,60073,50471,8969,60218,50687,8948,78044,61679,15323,89728,67040,22004,82738,62338,18150,81665,60018,18380,82244,61249,18454
3,3,253768,31980,45612,166162,15598,3287,562,258299,32578,53585,160183,17570,3898,436,262203,39675,53115,156127,18726,4231,682,263993,39732,53367,156774,18727,4232,682,258575,34315,55098,156808,17624,3502,233,266259,38287,57896,156453,19336,5153,311,188161,29703,30449,118805,12132,2279,399,181432,28716,30118,111015,9756,1250,68,204185,36660,37576,116883,15669,3167,573,204185,36660,37576,108786,14305,395,193,1080,5190,184058,30615,31325,111030,9469,1037,28,189275,34410,33286,110117,9699,1408,4,121182,114453,6185,119878,114997,4881,115007,107958,5213,111171,103477,6758,110077,104098,5979,85843,81849,3167,85831,82057,3094,102351,95748,5527,111664,103018,8032,105864,96015,7227,104935,94788,7159,105332,94693,7917
4,4,261461,106643,7735,139977,8931,2622,301,265501,104788,9959,142453,9549,3101,541,267449,102154,12174,142279,10727,3734,329,268248,102194,12182,142652,10728,3734,330,268821,103401,9667,146442,10262,2862,461,275271,106314,10613,147950,10840,2616,336,204186,86889,5060,106303,6681,1915,220,204512,85043,5984,106729,5049,1478,53,212481,84252,8320,111208,8090,2824,215,212481,84252,8320,105190,6931,384,41,1184,6179,204786,84601,5875,107239,5323,1385,30,209058,88072,6516,107528,5399,1136,65,154716,130406,23378,150242,127129,23113,148546,125302,19805,146594,120424,24823,145797,126043,19754,130018,113321,15358,129953,114214,14590,144953,123560,19612,159474,135677,22725,156410,132523,20344,154967,126509,23496,155479,128192,22979
5,5,254087,185508,19666,30193,18751,1621,321,258607,165618,31265,36214,26196,1693,463,266769,158116,31906,41055,33019,2875,403,267205,158334,31958,41437,33031,2879,403,258595,161584,30236,38914,29040,2519,542,257319,151406,31325,41885,32476,3407,716,202516,152851,13106,22108,14063,1068,236,184392,129356,17833,22169,13939,772,65,210597,132265,21813,29499,24456,2147,295,210597,132265,21813,26039,22104,281,39,1740,6316,184960,127262,17178,22985,15816,739,100,180650,119375,18007,24365,16780,938,94,110134,62163,46736,98540,59320,39220,106565,57299,46557,102574,55222,45765,100595,61170,39425,78538,49123,28526,78543,50161,27507,98502,55828,41195,115590,61171,53555,109798,61975,45289,107994,55719,48102,108873,58655,47167
6,6,260618,223478,11904,10385,14531,1505,241,261443,215345,14396,12587,19249,860,585,269500,213183,17055,13224,22348,3016,263,269699,213325,17073,13323,22384,3016,266,261588,210211,14603,12979,19356,1113,550,268873,213044,16842,14620,21004,1949,321,202982,177305,7826,6832,10599,1027,168,199530,174425,6934,7428,10139,404,4,215917,175988,11187,9215,16532,2209,199,215917,175988,11187,7612,15144,177,47,683,5079,202274,175829,7354,7842,10458,506,8,207070,177320,8382,8638,11670,666,14,138448,72525,64371,131276,65455,65821,142136,67380,70060,139894,63620,74121,137904,68942,68962,120811,66713,52377,120865,69811,49584,141250,71459,67411,163517,80835,81120,161401,80397,77346,160222,72021,83060,160585,76576,79840
7,7,252439,88536,7124,146632,11474,2598,324,264387,88034,9625,154636,13339,2245,789,262503,90573,11708,144487,16382,3539,435,263697,90617,11733,145082,16388,3541,435,259851,85963,10532,151619,12870,2195,858,267718,89120,11312,152546,14266,2787,1073,202469,78329,5240,109374,10105,1926,266,200003,75875,6731,110087,5941,1421,25,215610,80113,8804,112228,14291,2734,337,215610,80113,8804,106205,12584,335,87,952,6530,198446,74369,7418,109412,5754,1344,20,205769,77385,7839,111363,7333,1515,33,133469,115381,17300,128588,112233,16355,129572,111104,15350,126562,106180,18847,124953,108110,16843,106468,94417,10665,106424,95147,10084,122700,106046,14767,136393,118046,17337,132051,111552,16565,130955,108660,17846,131449,109505,17838
8,8,250417,65976,7963,160888,17346,2591,490,249502,66182,11253,157780,16449,2475,245,255286,65270,12998,156241,21490,3726,367,256726,65384,13016,156968,21503,3726,367,248918,65425,10791,158113,17477,2095,208,250502,64310,12896,157709,18542,2756,205,188068,57050,5372,112790,13549,1813,343,179248,57145,6557,105945,8223,1246,80,200429,57684,9233,115886,17484,2794,268,200429,57684,9233,109947,15875,389,47,1044,6210,180332,56863,6140,107152,8375,1243,74,181249,56251,7084,106794,9190,1205,70,120619,104098,15717,118674,105742,12932,118131,101296,14601,114757,98131,15514,113249,98693,14556,94213,83711,9473,94323,84293,9177,110831,95673,13733,124587,106235,17627,120227,100547,16246,119485,98836,16758,119776,99217,17096
9,9,247523,179159,17352,43620,8111,1652,201,252554,177035,19083,44187,12564,1614,269,252308,171064,21296,43478,13809,3422,243,252137,170834,21212,43572,13822,3423,244,252923,177631,18613,43284,13019,1757,222,252035,175618,16997,43808,14552,1679,324,186297,139805,11214,30152,5238,1125,139,185235,141713,7259,29923,5371,775,0,195996,139088,14109,31229,9286,2410,165,195996,139088,14109,28853,8313,219,29,578,4807,187000,143244,7743,29660,5469,820,0,188735,142395,8083,30426,6707,816,20,128090,73584,53216,110073,62319,47754,130581,72074,54022,129413,65722,61136,127467,67785,59682,109760,66080,42157,109715,68168,40187,127993,73082,52689,145975,86041,58554,143854,80160,60432,143159,75025,63198,143130,77336,62154
10,10,261851,224498,11868,14313,10763,1351,240,262150,217382,15623,16198,12908,1426,109,269644,214052,17727,17674,16082,3346,259,269925,214251,17739,17875,16124,3348,261,262520,216086,15492,16211,14180,1515,163,269008,218720,16371,16306,15507,1501,208,200011,175241,7648,9319,7336,948,175,198710,172825,8328,9660,6893,769,0,214007,175400,11641,12126,11406,2450,164,214007,175400,11641,10158,10019,172,35,787,5795,198045,171515,8228,9235,8040,819,75,205210,175600,9615,9918,8916,818,19,142455,81006,59823,135704,73131,62573,146482,77639,63175,144420,72805,69050,142229,77881,64348,125586,75785,47725,125555,78378,45402,145666,81886,60913,167536,95003,70828,165501,91770,69295,164279,84346,73964,164586,88172,71443
11,11,251137,166902,62351,21398,4950,2233,523,253231,149473,80278,31157,5273,7337,372,263098,144735,90598,27217,6054,6215,676,263931,144950,90999,27357,6080,6220,676,253495,146960,82341,30439,5494,5456,252,262470,146795,90105,29918,5835,3936,300,190102,137737,37443,13469,3492,1453,352,180595,125125,40912,11231,2474,624,0,202185,122054,59639,18635,4462,4224,491,202185,122054,59639,11668,3546,202,31,608,4437,181900,124075,42863,11506,2638,610,0,188945,125134,47962,11933,2996,605,0,105310,63107,40635,96132,54557,41575,103897,53467,46082,101154,51634,45817,98459,54083,44376,79967,47020,31535,79890,48289,30221,98159,53582,42174,113748,60485,51660,111908,60412,47834,110933,55280,50274,111383,57941,49072
12,12,246841,200708,7958,13793,24206,1199,233,253661,197521,11488,15740,28827,1278,328,263546,196228,13913,18494,31784,2743,274,263688,196324,13919,18591,31788,2743,275,254120,194204,11769,16737,29134,991,260,263127,197447,14014,17580,32531,1384,204,190102,157887,5241,9460,17240,750,160,188460,157140,5156,10194,15075,568,55,208067,159896,9104,12963,23513,1920,179,208067,159896,9104,11124,22252,187,40,626,4838,187390,155330,5245,10666,15376,511,60,194599,158154,6066,11339,18174,448,20,132555,73525,57822,127460,67055,60405,137913,76099,56659,137371,69710,65960,136310,76627,59683,120646,74345,44507,120908,77202,42122,139588,81290,55811,161708,95859,64196,160039,94455,61494,158832,84460,67875,159366,88861,65507
13,13,250356,197540,32633,17707,5205,1849,314,258096,197031,37100,20757,7940,1484,343,262225,194537,40105,20820,7673,3748,377,262878,194884,40225,20914,7712,3750,379,258789,194478,38197,21459,8174,1435,393,261918,193855,40335,24399,7379,2439,643,185849,151626,20470,11206,3690,1270,189,188391,152620,21939,9546,3528,518,50,198795,152133,26992,13870,5503,2700,240,198795,152133,26992,9724,4677,230,32,624,4383,188642,150848,22908,9693,4256,679,59,191532,151773,23994,10919,3933,594,84,103577,49404,52922,97586,44152,53434,106201,44346,56806,106549,43903,58429,104672,44978,59694,87422,41776,43720,87420,43647,42146,104525,46054,55693,121973,52934,67289,119557,50007,65958,118949,46661,67130,118758,47051,67498
14,14,251159,170990,56128,21504,6940,2250,413,257906,155739,74926,27538,8034,3074,427,266650,152347,81467,29853,7992,4554,453,267292,152541,81726,29983,8012,4554,453,259304,153610,78079,26942,8906,3589,354,266878,152769,84166,30232,8603,3467,742,192628,141998,34687,13081,4856,1467,275,185418,128437,40442,11523,4156,646,0,208118,129739,54787,19973,5921,3271,339,208118,129739,54787,13107,5010,154,42,782,4497,186481,127447,42204,11392,4413,658,10,193278,128828,46516,12635,4354,680,4,105446,62982,40591,98978,56790,42188,108753,56080,48762,107187,54393,48702,104304,59125,45179,83605,48733,33443,83730,51010,31200,104155,56706,45150,123682,65667,56593,120370,64601,51982,119712,59958,54081,119729,61760,53436
15,15,239845,160022,18435,53897,9777,1937,340,247620,154519,24832,58659,14179,1899,442,259166,149761,30642,59884,19307,4291,413,260164,150027,30701,60286,19345,4297,414,249268,153073,26152,59869,14965,2233,351,259063,155252,29082,60275,18218,2278,920,184175,131028,11390,35606,6885,1307,200,182758,127370,12571,35451,6255,871,10,203095,126306,20128,41601,14112,3103,291,203095,126306,20128,35597,12910,315,73,915,6851,184135,127638,13205,35507,6762,789,0,191311,130413,14990,36427,8051,825,90,118447,66135,50756,111768,61517,50251,118861,62137,51885,116888,59662,55084,114592,60557,54035,98838,56743,40254,98695,60748,36091,116147,64990,48640,133489,75766,55939,131665,74807,52730,130175,65563,58591,130176,69359,55482
16,16,247452,220638,11667,6588,8377,1355,189,257672,221004,16102,9737,10696,1505,157,264823,217052,20567,11099,12732,3322,299,265055,217230,20595,11153,12766,3322,313,259096,218413,18301,11313,10579,1052,268,263687,217398,22180,11534,11091,1396,309,188939,172252,7047,3839,5453,896,102,196912,176618,9131,4706,5449,685,8,208968,176744,13370,7229,8807,2317,191,208968,176744,13370,5283,7814,197,66,707,4787,199149,176754,10516,5260,5588,742,39,201202,176692,12500,5161,5680,825,68,122954,59731,61385,119238,52290,66948,133589,54789,73294,132922,51628,77128,130199,56551,73648,113529,55828,55648,113609,59178,52505,134345,60654,70641,158039,72536,83562,155998,70062,81364,155224,63692,85099,155330,66371,83702
17,17,239876,181938,16068,25250,16775,1324,252,244826,176017,18269,29275,21584,2039,238,257875,176764,23342,30178,25125,3092,342,258156,176843,23362,30364,25135,3093,342,246254,174566,19407,30529,22371,2494,353,257729,180599,19917,32610,23734,2485,426,187653,146456,11130,17749,12290,914,171,177015,140190,6889,19217,9800,715,44,202679,144785,15284,21958,18565,2212,264,202679,144785,15284,19222,16916,189,55,875,5353,178594,140085,8071,19681,9719,750,53,188850,145704,9332,21804,10822,667,89,131746,85104,45536,127831,79152,48679,130240,87806,38240,129567,79833,48303,127941,83476,44465,115119,83412,30167,114927,84870,28775,130938,90500,38391,149497,106085,42117,147277,101052,42761,146332,94172,46810,146671,97424,45175
18,18,251401,195011,32009,18390,7715,1711,321,255512,184701,41751,23380,9526,1531,346,263429,181308,44532,25809,11328,4098,349,263814,181500,44625,25916,11349,4099,350,256731,183029,43124,23957,9730,1707,259,265126,184461,46562,25122,10641,2218,283,196550,159508,20519,11501,5596,1177,218,196750,154095,25026,12374,4421,627,95,211941,154273,30141,17425,8563,2950,247,211941,154273,30141,12998,7381,192,57,1168,5731,197300,153265,26132,12613,4391,651,119,204630,156205,28259,13791,5247,642,108,112958,65131,46011,106130,58788,47342,117852,58771,54496,114993,56646,55285,111147,59803,51344,93840,54256,37901,94298,56922,35819,115647,62108,51039,139494,74256,63536,134996,71820,58972,134033,67050,61185,134352,68940,60449
19,19,238901,190092,15207,22640,11367,1400,198,247268,190204,18931,21942,16781,1260,180,253375,186726,20355,23388,19788,3244,252,253763,186880,20393,23606,19799,3244,254,247937,189193,18702,21771,18087,1220,181,254140,190058,19383,23780,20383,1802,62,181527,148021,9750,16095,7638,942,137,179525,149890,7700,14329,6729,621,60,197187,150950,13178,17083,13465,2268,170,197187,150950,13178,14616,12446,154,47,772,5024,180620,149855,8535,14421,6917,554,65,187455,153785,9501,15191,7811,644,10,124462,69641,53634,122654,63595,59059,128986,71350,52499,130037,64249,61466,128473,67727,60746,112680,68922,41846,112629,71242,39731,129311,74291,52202,147205,88229,57352,145976,81704,60507,145500,76429,63853,145149,78659,62197
