state_name,state,congress,s_upper,s_lower,district_name,race_type,margins,voter_power
Alaska,2,,A,,State Senate District A,State Leg (Upper),-4.576875905898094,0.0
Alaska,2,,B,,State Senate District B,State Leg (Upper),23.33515148509942,1.0
Alaska,2,,C,,State Senate District C,State Leg (Upper),-8.844834159359511,0.0
Alaska,2,,D,,State Senate District D,State Leg (Upper),-45.80479452054795,0.0
Alaska,2,,E,,State Senate District E,State Leg (Upper),-6.495363977115802,0.0
Alaska,2,,F,,State Senate District F,State Leg (Upper),-6.521496370742602,29.0
Alaska,2,,G,,State Senate District G,State Leg (Upper),8.255745816784946,0.0
Alaska,2,,H,,State Senate District H,State Leg (Upper),2.2002912150137517,100.0
Alaska,2,,I,,State Senate District I,State Leg (Upper),18.860178700796908,0.0
Alaska,2,,J,,State Senate District J,State Leg (Upper),15.587455141207677,4.0
Alaska,2,,K,,State Senate District K,State Leg (Upper),2.4689692390717757,0.0
Alaska,2,,L,,State Senate District L,State Leg (Upper),-30.498563807960604,1.0
Alaska,2,,M,,State Senate District M,State Leg (Upper),-45.89797837329572,0.0
Alaska,2,,N,,State Senate District N,State Leg (Upper),-51.553804789595446,0.0
Alaska,2,,O,,State Senate District O,State Leg (Upper),-40.34617532104969,0.0
Alaska,2,,P,,State Senate District P,State Leg (Upper),-12.547051442910917,6.0
Alaska,2,,Q,,State Senate District Q,State Leg (Upper),-34.557477711519155,0.0
Alaska,2,,R,,State Senate District R,State Leg (Upper),-2.7391465284754903,88.0
Alaska,2,,S,,State Senate District S,State Leg (Upper),23.793310634888844,0.0
Alaska,2,,T,,State Senate District T,State Leg (Upper),15.03331184182248,4.0
Arizona,4,,1,,State Senate District 1,State Leg (Upper),-29.137185453646886,1.0
Arizona,4,,2,,State Senate District 2,State Leg (Upper),-5.0557399464102595,41.0
Arizona,4,,3,,State Senate District 3,State Leg (Upper),-26.160340750621476,1.0
Arizona,4,,4,,State Senate District 4,State Leg (Upper),-4.220855191153715,53.0
