ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_GOV_Total,E_16_GOV_Dem,E_16_GOV_Rep,E_16_AG_Total,E_16_AG_Dem,E_16_AG_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_20_GOV_Total,E_20_GOV_Dem,E_20_GOV_Rep,E_20_AG_Total,E_20_AG_Dem,E_20_AG_Rep,E_20_AUD_Total,E_20_AUD_Dem,E_20_AUD_Rep,E_20_SOS_Total,E_20_SOS_Dem,E_20_SOS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,10726,10106,267,45,70,254,4,11350,10552,352,14,39,395,60,10816,9711,359,78,106,447,33,10823,9718,359,77,106,441,33,11441,10600,329,35,47,349,8,11370,10439,385,9,108,366,10,8610,8201,165,10,42,190,4,9099,8615,164,12,33,255,10,8854,8045,239,43,79,331,26,8854,8045,239,13,43,91,2,50,371,8929,8505,113,19,44,240,0,8921,8420,160,4,57,254,4,5052,1613,3102,5265,1160,3823,5352,1776,3336,5167,1180,3987,5343,1576,3617,6191,1568,4521,6723,1581,4996,6719,1783,4936,6707,1684,4793,6645,1589,5056,6609,1506,4813,6624,1590,5034,5438,1270,3920
2,2,10714,10101,222,50,71,280,15,9846,9137,277,33,80,293,36,10894,9812,252,70,134,480,35,10904,9821,252,70,134,462,35,10213,9310,337,22,110,372,29,10873,9873,342,50,68,490,21,8503,8101,135,18,39,209,11,7966,7473,205,4,29,217,35,8744,7996,160,39,80,346,24,8744,7996,160,9,49,95,11,26,398,8510,7944,262,4,29,236,39,8795,8298,171,10,23,263,29,4973,1618,3105,4890,1038,3584,4972,1780,2992,4804,1076,3728,4874,1544,3153,5684,1458,4113,6165,1457,4587,6144,1686,4458,6134,1525,4359,6060,1426,4634,6046,1387,4380,6066,1452,4614,4897,1097,3536
3,3,9201,8635,228,51,101,183,21,10294,9803,152,56,29,352,0,10760,9718,329,73,167,325,34,10764,9721,329,73,166,316,34,10598,10069,148,95,40,363,0,10986,10183,371,133,66,242,0,7427,7046,154,29,77,127,11,8620,8229,137,8,24,206,0,8873,8134,244,32,117,237,19,8873,8134,244,11,67,62,6,41,308,8985,8569,140,35,38,188,0,9034,8487,326,66,73,93,0,5173,2488,2404,5359,2425,2531,5452,2989,2276,5201,2151,3050,5623,3284,2228,6504,3448,2927,7098,3754,3172,7107,3922,3185,7076,3733,3124,6961,3635,3326,6880,3393,3140,6938,3561,3377,5656,3037,2460
4,4,9495,8896,211,63,100,263,17,10949,10480,213,47,86,171,0,10768,9610,314,109,136,426,45,10774,9615,314,108,134,408,45,11048,10464,203,54,102,197,74,10651,9761,362,40,55,320,86,7287,6901,122,26,67,187,10,8739,8367,165,15,23,147,0,8472,7671,202,48,94,305,30,8472,7671,202,26,36,82,13,47,395,8500,8072,155,10,29,164,0,8106,7624,178,39,50,142,0,4493,1993,2315,4814,1829,2607,4921,2552,2177,4726,1655,3071,4971,2712,2116,5713,2712,2869,6173,2875,3139,6199,3120,3079,6152,2898,3002,6051,2819,3232,6010,2650,3053,6041,2764,3277,4817,2347,2288
5,5,9587,9049,176,40,81,276,19,10080,9100,158,113,101,583,8,10904,9787,344,80,126,452,31,10919,9801,344,78,124,422,25,10240,9259,169,90,109,588,3,10609,9760,154,45,211,321,2,7365,7015,108,18,46,190,10,7724,7061,142,78,51,366,9,8487,7686,221,58,88,331,25,8487,7686,221,28,32,77,4,27,412,7968,7338,132,58,36,359,4,8226,7776,90,39,102,199,0,4579,1564,2774,4780,1072,3398,4850,1780,2852,4715,1055,3660,5008,1743,3116,5824,1617,4082,6333,1672,4529,6341,1875,4466,6325,1722,4364,6243,1615,4628,6215,1583,4325,6235,1629,4606,4921,1362,3354
6,6,9023,8575,182,28,95,148,21,10192,9662,181,33,95,212,2,10932,9875,321,51,195,327,27,10934,9876,321,51,193,328,27,9901,9152,302,16,196,252,0,10359,9271,511,39,354,266,6,6802,6514,110,18,53,100,14,7548,7218,126,18,57,120,3,8419,7752,172,23,134,213,18,8419,7752,172,9,67,42,2,38,337,7381,6986,123,2,89,157,0,7918,7356,233,32,96,174,0,4546,1638,2713,5216,1475,3447,5342,2051,3127,5184,1269,3915,5413,2145,3139,6289,2109,4064,6803,2250,4422,6831,2423,4408,6806,2225,4362,6716,2125,4591,6678,2093,4276,6706,2098,4608,5685,1909,3579
7,7,10108,9268,299,80,163,348,16,11083,10106,536,140,99,434,25,10718,9343,436,121,208,491,31,10736,9356,436,117,200,469,28,11778,10497,769,184,100,470,37,12386,11142,595,107,226,378,9,7792,7240,191,46,108,229,9,8674,8077,308,30,27,235,0,8366,7435,277,55,125,369,22,8366,7435,277,32,84,125,5,31,377,8970,8282,458,65,4,179,0,9494,8765,389,4,52,251,0,4364,1856,2292,4183,1446,2378,4251,2020,1976,4097,1365,2732,4078,2002,1922,4700,1979,2583,5070,2033,2858,5056,2263,2793,5059,2052,2695,4963,2043,2920,4953,1933,2705,4950,2027,2923,3594,1566,1838
8,8,10133,9481,251,40,103,298,14,10808,9623,816,78,211,204,23,10711,9470,329,50,176,510,31,10727,9486,329,47,164,433,22,10515,9666,460,76,146,322,10,10666,9715,235,30,198,357,0,7656,7244,134,18,73,196,10,8028,7378,488,1,83,71,15,8330,7505,208,35,110,359,11,8330,7505,208,20,77,105,5,24,386,7959,7480,292,0,63,116,10,8300,7902,147,0,61,167,0,4302,1433,2671,4321,993,3055,4414,1619,2585,4305,924,3381,4362,1630,2580,4908,1418,3358,5233,1417,3677,5207,1626,3581,5204,1430,3540,5145,1406,3739,5122,1315,3541,5133,1368,3765,4178,1204,2803
9,9,9773,9234,243,47,93,165,13,9342,8890,111,42,189,132,69,10914,9844,370,60,151,380,9,10916,9846,370,60,151,375,9,9346,8933,106,14,184,127,76,10050,9453,134,51,26,260,2,7322,6966,147,25,63,124,7,7299,6951,86,20,79,85,0,8374,7658,243,32,82,278,7,8374,7658,243,19,41,53,4,39,317,7613,7297,100,25,52,61,0,7906,7562,139,35,17,170,0,4439,1384,2829,4984,1112,3590,5086,1713,3188,4941,1001,3940,5031,1714,3155,5873,1653,4098,6352,1751,4462,6371,1937,4434,6349,1769,4364,6267,1683,4584,6242,1619,4360,6271,1664,4607,5038,1379,3420
