ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_LTG_Total,E_18_LTG_Dem,E_18_LTG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,47475,44613,1204,206,461,1050,94,50032,46180,1866,344,705,1105,242,53610,47911,2045,335,692,1796,167,51888,47615,2055,304,772,1389,181,55083,49649,2372,322,972,1545,120,36705,34896,718,91,286,725,55,38891,36500,1125,77,276,756,60,42696,38701,1354,191,453,1314,109,42696,38701,1354,84,248,311,43,264,1691,40674,38126,1159,121,360,781,85,42985,40253,1251,160,417,845,46,22411,8767,12887,20380,7217,13163,23898,6426,15399,23678,6347,16175,20828,7451,12952,20278,6890,13388,20505,7382,13123,24674,7472,16419,30334,9026,20568,30003,8808,20111
2,2,47745,43959,1247,205,335,2116,80,50827,46169,1784,250,500,2287,234,52071,45870,1697,310,527,2872,164,50499,45347,2077,321,382,2295,240,52043,45545,2490,317,421,2789,201,37674,35207,765,84,206,1434,49,40456,37452,1133,111,131,1484,90,41912,37479,1117,194,353,2071,97,41912,37479,1117,63,200,887,27,255,1884,40116,36752,1503,177,115,1444,98,41790,37806,1793,211,128,1741,78,22385,7731,13868,20086,6532,13554,22718,4619,16467,22548,4668,16694,19502,5183,13947,19030,4990,14040,19192,5352,13839,22997,5162,17204,27925,5828,21506,27479,5918,20488
3,3,42671,39698,1526,210,546,808,105,47693,44132,1787,274,755,767,182,51953,45871,2355,377,928,1719,188,50661,46652,1844,317,696,569,197,54429,48619,2519,328,623,1022,328,31814,30013,897,85,329,532,64,37271,35038,990,188,444,500,65,40141,36063,1508,176,592,1250,121,40141,36063,1508,75,310,258,32,196,1699,39857,37635,1017,220,498,412,60,42289,39500,1311,267,382,641,105,19949,6120,13368,19003,5267,13736,21084,4415,15016,20977,4076,15956,18197,4782,13136,17884,4525,13359,18064,5064,13000,22719,5141,16820,29441,6814,21913,29006,6298,21505
4,4,43161,39399,1820,391,616,1081,153,48940,43704,2674,479,991,1307,207,52384,45182,2866,547,1249,1940,274,48115,42261,2584,511,872,1298,130,50945,43974,2950,748,1177,1326,160,33351,30974,1105,191,381,751,89,37476,34377,1504,229,327,897,0,40736,35859,1864,313,841,1348,186,40736,35859,1864,125,451,357,61,245,1774,36644,33865,1104,300,288,892,4,39340,35727,1562,332,563,1006,10,18976,8374,10134,16445,6871,9574,19681,6496,11277,19571,6208,12549,17041,7104,9632,16668,6734,9934,16894,7473,9422,20649,7519,12386,25842,9503,15600,25476,9040,15342
5,5,40102,36412,1667,318,536,1336,102,45706,40749,2251,525,934,1610,363,51943,44593,2993,448,1021,2369,277,48023,41825,2526,587,1150,2119,477,53147,46134,2514,529,1199,1774,235,29287,27064,950,142,317,875,61,33051,30088,1307,116,389,933,10,39199,34484,1854,246,641,1534,160,39199,34484,1854,119,306,516,46,182,1692,34758,31257,1593,78,432,1052,4,39236,35904,1634,86,559,878,0,16546,5591,10521,16646,5014,11632,18141,3918,12674,18051,3686,13562,15221,4330,10629,14952,4084,10868,15075,4462,10613,19267,4679,13895,25014,6218,18103,24451,5883,17452
6,6,50547,44516,1702,556,1190,2740,153,53470,45871,2225,733,1636,3339,147,53431,44293,2497,741,1720,3761,207,53805,45610,2186,776,1685,3292,195,53523,45018,2415,777,1631,2929,273,40624,36282,1200,349,947,1887,104,41366,36724,1500,396,604,2065,22,42577,35981,1850,466,1324,2597,146,42577,35981,1850,264,885,1534,45,185,1833,42236,37319,1484,453,736,2172,30,42041,37118,1580,546,633,2026,32,24029,11390,11859,21916,10590,11326,24334,9660,11375,24543,9528,14125,21437,10902,10271,20166,9718,10448,21091,10988,10103,24473,10986,12540,28587,13027,14543,28595,13232,14420
7,7,50030,46263,1376,306,534,1710,116,50598,46061,1960,310,669,1800,54,52629,46298,2107,504,780,2533,192,51276,46533,2223,178,641,1754,21,53430,47953,2335,374,737,1915,30,39452,36994,840,153,351,1161,79,40144,37151,1167,202,382,1202,4,41903,37490,1396,289,512,1803,116,41903,37490,1396,144,297,783,31,163,1599,40629,37416,1321,87,465,1277,4,42389,38837,1457,119,463,1438,0,24094,8152,15173,21468,6768,14700,23046,5142,15788,22982,5106,16663,19341,5741,13194,19177,5273,13904,19073,6050,13023,22829,5579,16473,27008,6396,19923,26724,6165,19445
8,8,48291,40237,4929,1083,1308,996,218,49003,39987,5572,1212,1366,1318,233,52297,41107,6178,1288,1492,1873,327,49946,40334,5888,1150,1515,1486,287,52735,42523,5931,1304,1675,1642,222,36301,31225,2879,669,913,708,130,37085,31955,2903,707,564,835,70,40900,33146,4035,918,1091,1347,208,40900,33146,4035,574,741,302,72,238,1792,37829,32454,3092,737,557,924,95,40219,34879,2976,780,557,855,90,20087,6847,12564,17923,6048,11875,20099,4931,13172,19869,4924,13451,17864,6291,11150,17404,5418,11986,17638,6314,11324,20405,6009,13680,24827,7384,16767,24654,7648,15960
9,9,48265,37725,8900,211,652,1084,81,50656,38139,10627,250,694,1273,101,52960,39437,9888,371,900,2118,183,52066,38721,11260,206,703,1367,140,53691,39536,11014,402,920,1769,122,34800,28481,5173,105,447,755,46,34637,29134,4291,124,271,832,25,39310,30485,6255,173,591,1507,96,39310,30485,6255,70,327,274,39,189,1671,35632,29867,4580,130,331,779,45,37542,30986,4885,143,626,950,37,19359,5180,13596,19655,5092,14563,19348,3345,14360,19210,3446,14392,16949,4137,12506,16589,3535,13053,16729,4233,12496,19831,3988,15266,24224,4692,18972,24074,4988,18209
