STATEFP,States,NAMELSAD,Margins,Voter Power
4,AZ,Congressional District 1,-3.00,38.00
4,AZ,Congressional District 4,6.00,0.00
4,AZ,Congressional District 6,-4.00,27.00
37,NC,Congressional District 1,3.00,50.00
41,OR,Congressional District 5,-4.00,52.00
30,MT,Congressional District 1,-4.00,100.00
55,WI,Congressional District 1,-1.00,73.00
55,WI,Congressional District 3,0.30,75.00
39,OH,Congressional District 1,2.00,55.00
39,OH,Congressional District 9,0.20,63.00
39,OH,Congressional District 1,4.00,34.00
